id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40322007,Serviced apartment in Porto · 2 bedrooms · 5 beds · 1 bath,311163261,Oporto Serviced Apartments -,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15639,-8.61973,Entire home/apt,180,2,1,2021-01-01,0.03,6,316,0,48662/al
40340574,Serviced apartment in Póvoa de Varzim · 1 bedroom · 1 bed · 1 shared bath,311755995,Gilberto,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.37483,-8.75046,Private room,23,1,1,2019-12-11,0.02,1,0,0,0133
39658611,Villa in Laundos · 3 bedrooms · 3 beds · 3 baths,304788372,Tiago,PÓVOA DE VARZIM,Laundos,41.43371,-8.71071,Entire home/apt,105,3,0,,,1,147,0,Exempt
39999584,Rental unit in Porto · ★4.98 · 1 bedroom · 2 beds · 1 bath,296767954,Adérito,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.144,-8.61802,Entire home/apt,113,1,58,2023-06-11,1.36,4,305,22,111263/AL
40003760,Home in Porto · 1 bedroom · 1 bed · 1 bath,76966864,Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1449,-8.60797,Entire home/apt,125,2,1,2022-07-15,0.09,6,139,1,105433/AL
40368793,Rental unit in Vila Nova de Gaia · 1 bedroom · 2 beds · 1 bath,2228036,Rui,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13232,-8.61017,Entire home/apt,119,1,0,,,88,306,0,102755/AL
40024882,Rental unit in Matosinhos · ★4.89 · 2 bedrooms · 2 beds · 1 bath,236394834,Daniel,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17877,-8.68802,Entire home/apt,54,2,91,2023-06-11,2.15,1,78,30,105332/AL
40368794,Rental unit in Vila Nova de Gaia · ★4.43 · Studio · 2 beds · 1 bath,2228036,Rui,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13303,-8.6112,Entire home/apt,94,1,7,2023-06-09,0.17,88,224,1,102728/AL
39661496,Rental unit in Porto · ★4.24 · 2 bedrooms · 8 beds · 1.5 baths,304810905,Soft,PORTO,Bonfim,41.14807,-8.60161,Entire home/apt,452,8,17,2020-10-11,0.39,1,41,0,102748/AL
40368796,Rental unit in Vila Nova de Gaia · Studio · 2 beds · 1 bath,2228036,Rui,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13241,-8.60962,Entire home/apt,159,1,1,2022-09-20,0.11,88,227,1,102756/AL
40368798,Rental unit in Vila Nova de Gaia · Studio · 2 beds · 1 bath,2228036,Rui,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.133,-8.61157,Entire home/apt,104,1,1,2023-05-28,1,88,282,1,102757/AL
40368799,Rental unit in Vila Nova de Gaia · ★4.86 · 1 bedroom · 2 beds · 1 bath,2228036,Rui,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13222,-8.61106,Entire home/apt,195,1,7,2023-06-06,0.17,88,318,3,102758/AL
39665249,Rental unit in Porto · ★4.65 · 1 bedroom · 2 beds · 1 bath,205776921,Ana & Daniel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14446,-8.60402,Entire home/apt,63,1,105,2023-05-27,2.39,11,141,70,79801/AL
40376447,Rental unit in Porto · ★4.84 · 1 bedroom · 1 bed · 1 bath,76223539,BnBird,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15538,-8.61555,Entire home/apt,67,3,86,2023-05-12,2.17,66,330,20,101964
40386042,Rental unit in Vila Nova de Gaia · ★5.0 · 1 bedroom · 1 bed · 1 private bath,312175308,Emilia,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.11513,-8.60668,Private room,24,1,3,2020-01-04,0.07,1,0,0,
