District,Population
Alenquer,44442
Amadora,171454
Arruda dos Vinhos,13992
Azambuja,21421
Cadaval,13372
Cascais,214124
Lisboa,545796
Loures,201590
Lourinhã,26240
Mafra,86515
Odivelas,148034
Oeiras,171658
Sintra,385606
Sobral de Monte Agraço,10540
Torres Vedras,83072
Vila Franca de Xira,137529
