Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
150601:Alhos Vedros;16146;2674;1693;8758;3021;7904;1404;918;4244;1338;8242;1270;775;4514;1683
150603:Moita;17728;2538;1966;9315;3909;8370;1309;1021;4391;1649;9358;1229;945;4924;2260
150607:União das freguesias de Baixa da Banheira e Vale da Amoreira;30089;4269;3455;15298;7067;13963;2170;1726;7077;2990;16126;2099;1729;8221;4077
150608:União das freguesias de Gaio-Rosário e Sarilhos Pequenos;2292;328;256;1191;517;1111;183;120;587;221;1181;145;136;604;296
150701:Canha;1566;147;143;711;565;788;83;87;374;244;778;64;56;337;321
150704:Sarilhos Grandes;3243;439;322;1666;816;1594;225;162;838;369;1649;214;160;828;447
150709:União das freguesias de Atalaia e Alto Estanqueiro-Jardia;5379;837;583;2873;1086;2644;444;287;1440;473;2735;393;296;1433;613
150710:União das freguesias de Montijo e Afonsoeiro;41404;7085;4306;22932;7081;19795;3669;2192;11035;2899;21609;3416;2114;11897;4182
150711:União das freguesias de Pegões;4090;505;456;2232;897;2232;285;264;1279;404;1858;220;192;953;493
111603:Odivelas;59586;9121;6042;32334;12089;27876;4594;3109;15231;4942;31710;4527;2933;17103;7147
111608:União das freguesias de Pontinha e Famões;35111;5071;3665;18808;7567;16747;2577;1896;8932;3342;18364;2494;1769;9876;4225
111609:União das freguesias de Póvoa de Santo Adrião e Olival Basto;18806;2503;1881;9687;4735;8725;1287;923;4576;1939;10081;1216;958;5111;2796
111610:União das freguesias de Ramada e Caneças;34531;5641;3713;18656;6521;16376;2864;1847;8840;2825;18155;2777;1866;9816;3696
111002:Barcarena;14451;2301;1564;7798;2788;6978;1192;826;3742;1218;7473;1109;738;4056;1570
111009:Porto Salvo;15098;2343;1697;7812;3246;7173;1205;862;3659;1447;7925;1138;835;4153;1799
111012:União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;47936;6497;4851;24276;12312;22066;3333;2491;11219;5023;25870;3164;2360;13057;7289
111013:União das freguesias de Carnaxide e Queijas;36079;5750;3883;18437;8009;16758;2996;1991;8457;3314;19321;2754;1892;9980;4695
111014:União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;58094;7426;5869;29906;14893;26606;3851;2997;13894;5864;31488;3575;2872;16012;9029
150802:Palmela;18790;2606;2093;9543;4548;9060;1327;1097;4649;1987;9730;1279;996;4894;2561
150803:Pinhal Novo;26989;4078;3126;14816;4969;12831;2047;1593;7067;2124;14158;2031;1533;7749;2845
150804:Quinta do Anjo;14262;2245;1560;7710;2747;6942;1162;787;3782;1211;7320;1083;773;3928;1536
150806:União das freguesias de Poceirão e Marateca;8811;1065;952;4494;2300;4332;525;522;2335;950;4479;540;430;2159;1350
151002:Amora;49345;6919;5539;25381;11506;23162;3580;2888;11710;4984;26183;3339;2651;13671;6522
151005:Corroios;50806;7316;5427;26881;11182;23977;3793;2756;12520;4908;26829;3523;2671;14361;6274
151006:Fernão Ferro;20754;3429;2090;10734;4501;10060;1710;1051;5195;2104;10694;1719;1039;5539;2397
151007:União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires;45602;6830;5011;25113;8648;21425;3412;2497;11732;3784;24177;3418;2514;13381;4864
151103:Quinta do Conde;28089;4635;3313;15596;4545;13574;2341;1715;7443;2075;14515;2294;1598;8153;2470
151101:Sesimbra (Castelo);20212;2850;2158;10625;4579;9891;1482;1110;5169;2130;10321;1368;1048;5456;2449
