Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in porto,★Unknown,"1 bedroom, 3 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,238,1,YourOpo,1,2023-05-02 00:00:00,41.14401,-8.61819
Rental unit in porto,★4.86,"2 bedrooms, 2 beds, 2.5 baths",Porto,Bonfim,Entire home/apt,180,2,Ruis,21,2023-05-28 00:00:00,41.14744,-8.59648
Vacation home in póvoa de varzim,★4.85,"2 bedrooms, 2 beds, 1 bath",Póvoa de Varzim,"Póvoa de Varzim, Beiriz e Argivai",Entire home/apt,75,2,Susana,20,2023-05-01 00:00:00,41.38256,-8.76969
Rental unit in porto,★4.90,"1 bedroom, 2 beds, 1 bath",Porto,Bonfim,Entire home/apt,77,3,Susana & Pedro,49,2023-05-26 00:00:00,41.15049362182617,-8.597336769104004
Rental unit in porto,★Unknown,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,238,1,YourOpo,1,2023-05-14 00:00:00,41.14209,-8.61722
Rental unit in porto,★Unknown,"Studio, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,190,1,YourOpo,0,,41.14467,-8.61434
Guesthouse in porto,★4.77,"1 bedroom, 2 beds, 1 private bath",Porto,Campanhã,Private room,66,1,Oporto Grace City,13,2023-06-07 00:00:00,41.15997,-8.59185
Rental unit in porto,★4.41,"Studio, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,100,2,Gonzaga,22,2023-04-30 00:00:00,41.14134,-8.61763
Rental unit in porto,★4.90,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,56,3,A. Teixeira Da Cunha,69,2023-06-10 00:00:00,41.143894,-8.613433
Rental unit in porto,★4.73,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,77,3,Susana & Pedro,52,2023-05-29 00:00:00,41.15039825439453,-8.609135627746582
Rental unit in porto,★4.88,"1 bedroom, 2 beds, 2 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,210,2,Al,43,2023-05-20 00:00:00,41.143318,-8.613228
Serviced apartment in porto,★4.65,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,90,1,Host,23,2023-06-06 00:00:00,41.145679,-8.613467
Serviced apartment in porto,★4.55,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,90,1,Host,47,2023-06-08 00:00:00,41.145679,-8.613467
Rental unit in porto,★4.83,"1 bedroom, 1 bed, 1 shared bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,52,1,Paulo Ricardo,134,2023-05-28 00:00:00,41.146675,-8.603778
Rental unit in porto,★4.87,"1 bedroom, 1 bed, 1 shared bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,50,1,Paulo Ricardo,111,2023-05-28 00:00:00,41.14581,-8.60356
Condo in senhora da hora,★4.79,"1 bedroom, 2 beds, 1 bath",Matosinhos,"Custóias, Leça do Balio e Guifões",Entire home/apt,60,5,Christophe,34,2023-06-06 00:00:00,41.18921,-8.64773
Loft in porto,★4.93,"Studio, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,66,3,Francisco,29,2023-06-05 00:00:00,41.15995,-8.63541
Serviced apartment in porto,★4.63,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,118,1,Host,51,2023-06-10 00:00:00,41.145679,-8.613467
Serviced apartment in porto,★4.33,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,98,1,Host,18,2023-06-04 00:00:00,41.145679,-8.613467
Serviced apartment in porto,★4.62,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,123,1,Host,53,2023-06-09 00:00:00,41.145679,-8.613467
Rental unit in porto,★4.72,"2 bedrooms, 4 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,79,2,YourHost,25,2023-05-23 00:00:00,41.152596,-8.617616
Rental unit in porto,★4.56,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,58,2,Downtown,64,2023-06-02 00:00:00,41.149578,-8.614802
Serviced apartment in porto,★4.48,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,96,1,Host,25,2023-06-03 00:00:00,41.145679,-8.613467
Rental unit in porto,★4.93,"2 bedrooms, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,146,3,Raul,72,2023-06-08 00:00:00,41.152126,-8.613694
