Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in lisbon,★4.94,"9 bedrooms, 13 beds, 8 baths",Lisboa,Estrela,Entire home/apt,1157,2,Francisco,101,2023-06-04,38.71108,-9.15979
Rental unit in lisboa,★4.58,"1 bedroom, 2 beds, 1 bath",Lisboa,Avenidas Novas,Entire home/apt,70,7,Sara,53,2023-06-02,38.74571,-9.15264
Rental unit in lisboa,★4.73,"1 bedroom, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,139,3,Juan,62,2023-05-08,38.71686,-9.14014
Rental unit in lisboa,★4.89,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,80,2,Joana,225,2023-05-23,38.71004,-9.15209
Bed and breakfast in cascais,★4.94,"1 bedroom, 1 bed, 1 private bath",Cascais,Cascais e Estoril,Private room,50,1,Maria,137,2022-01-06,38.70779,-9.39326
Townhouse in lisbon,★4.89,"3 bedrooms, 1 bed, 2.5 baths",Lisboa,Misericrdia,Entire home/apt,135,4,Miguel/Mafalda,36,2023-05-18,38.71149,-9.15204
Rental unit in lisbon,★Unknown,"1 bedroom, 3 beds, 2 baths",Lisboa,Lumiar,Private room,40,1,Bruno,2,2011-07-22,38.76427,-9.15301
Cottage in cadaval municipality,★4.68,"2 bedrooms, 4 beds, 1 bath",Cadaval,Cadaval e Pro Moniz,Entire home/apt,115,3,Catarina,95,2023-03-26,39.23805,-9.12181
Serviced apartment in lisbon,★4.47,"4 bedrooms, 8 beds, 4 baths",Lisboa,Santo Antnio,Entire home/apt,800,3,Justostay,94,2022-10-29,38.71782,-9.14873
Loft in lisbon,★4.64,"Studio, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,97,3,Nuno,156,2023-04-21,38.71147,-9.13382
Rental unit in lisbon,★4.85,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,99,7,João,328,2022-12-10,38.70996,-9.15237
Rental unit in lisbon,★4.73,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,81,3,Maria & Pedro,401,2023-05-26,38.71343,-9.12557
Loft in lisboa,★4.62,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,261,2,Pedro,297,2023-05-25,38.71081,-9.12816
Rental unit in lisbon,★4.48,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,100,1,David,170,2023-06-06,38.71062,-9.149
Rental unit in lisbon,★4.31,"1 bedroom, 1 bed, 1.5 baths",Lisboa,Misericrdia,Entire home/apt,80,5,José,33,2023-05-22,38.71195,-9.14463
