Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in pontinha,★4.62,"2 bedrooms, 2 beds, 1 bath",Odivelas,Pontinha e Fames,Entire home/apt,128,3,Danideal,27,2023-05-22,38.76337,-9.20174
Home in mafra,★4.60,"3 bedrooms, 4 beds, 3 baths",Mafra,Mafra,Entire home/apt,230,7,Paula,15,2022-09-02,38.93287,-9.37504
Rental unit in lisboa,★4.67,"2 bedrooms, 3 beds, 2 baths",Lisboa,Avenidas Novas,Entire home/apt,175,2,Pedro,3,2018-09-17,38.73358,-9.14554
Rental unit in lisboa,★4.95,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,108,2,Jorge,240,2023-06-11,38.71413,-9.14496
Rental unit in estoril,★4.86,"Studio, 2 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,105,7,Ana,66,2023-05-15,38.70336,-9.39665
Rental unit in lisboa,★4.80,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Misericrdia,Private room,69,2,Maria,206,2023-06-12,38.70995,-9.15223
Rental unit in algueirão-mem martins,★4.62,"3 bedrooms, 5 beds, 1 bath",Sintra,Algueiro-Mem Martins,Entire home/apt,129,3,Danideal,29,2023-05-08,38.79602,-9.33468
Rental unit in lisboa,★4.79,"2 bedrooms, 3 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,245,3,Rui,66,2023-05-30,38.71439,-9.14833
Rental unit in lisboa,★4.56,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,108,4,Diogo,208,2023-05-30,38.7099,-9.1462
Rental unit in lisboa,★4.94,"4 bedrooms, 8 beds, 3 baths",Lisboa,Parque das Naes,Entire home/apt,259,1,Teresa,167,2023-05-30,38.76815,-9.09884
Townhouse in lisboa,★4.75,"2 bedrooms, 3 beds, 1 bath",Lisboa,Ajuda,Entire home/apt,70,2,José E Leonor,100,2023-05-29,38.70544,-9.19936
Rental unit in lisboa,★4.57,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,113,4,Living In,168,2023-05-20,38.71235,-9.12667
Rental unit in lisboa,★4.54,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,110,4,Living In,153,2023-05-21,38.71355,-9.12439
Rental unit in lisbon,★4.15,"2 bedrooms, 3 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,108,1,BmyGuest Short Term Rental -,33,2023-05-28,38.7119,-9.12833
Rental unit in carcavelos,★4.86,"1 bedroom, 2 beds, 1 bath",Cascais,Carcavelos e Parede,Entire home/apt,70,1,Guilherme,129,2023-06-02,38.68842,-9.33597
Rental unit in lisboa,★4.73,"3 bedrooms, 5 beds, 2 baths",Lisboa,Parque das Naes,Entire home/apt,277,1,Friendly,33,2021-12-30,38.75774,-9.09661
Home in sintra,★4.93,"3 bedrooms, 4 beds, 3 baths",Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Entire home/apt,160,6,Patricia,71,2023-06-04,38.76144,-9.38437
Cottage in colares,★4.84,"3 bedrooms, 3 beds, 1 bath",Sintra,Colares,Entire home/apt,280,3,Bárbara,64,2023-05-24,38.82749,-9.46962
Rental unit in lisboa,★4.63,"1 bedroom, 2 beds, 2 shared baths",Lisboa,Alvalade,Private room,45,2,Graça,64,2023-05-23,38.74625,-9.1471
Rental unit in lisboa,★4.73,"4 bedrooms, 5 beds, 2 baths",Lisboa,Avenidas Novas,Entire home/apt,130,2,Graça,40,2023-06-07,38.7446,-9.14605
Rental unit in lisboa,★4.73,"3 bedrooms, 4 beds, 2.5 baths",Lisboa,Santa Maria Maior,Entire home/apt,279,3,Flávia,99,2023-05-30,38.70991,-9.13262
Rental unit in amadora,★Unknown,"2 bedrooms, 2 beds, 1 bath",Amadora,Falagueira-Venda Nova,Entire home/apt,41,2,Luis,0,,38.76056,-9.22756
Rental unit in lisboa,★4.86,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,80,3,Mariza & Diogo,7,2023-04-13,38.71295,-9.12726
Rental unit in lisbon,★4.22,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,99,1,BmyGuest Short Term Rental -,23,2023-05-01,38.71369,-9.14635
Rental unit in lisboa,★4.95,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,125,3,Mariza & Diogo,19,2023-05-25,38.71316,-9.12849
Rental unit in lisboa,★4.39,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,103,2,Rui,179,2023-06-09,38.70909,-9.14304
Rental unit in lisboa,★4.70,"1 bedroom, 1 bed, 1 bath",Lisboa,Campo de Ourique,Entire home/apt,101,2,Tomás,155,2023-05-23,38.72038,-9.16234
Serviced apartment in lisboa,★4.96,"2 bedrooms, 4 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,259,1,Madalena,27,2023-05-25,38.71005,-9.13554
Rental unit in lisboa,★4.96,"2 bedrooms, 2 beds, 2.5 baths",Lisboa,Avenidas Novas,Entire home/apt,229,3,Ana,89,2023-05-21,38.73928,-9.15334
Villa in colares,★4.67,"5 bedrooms, 11 beds, 4 baths",Sintra,Colares,Entire home/apt,559,1,Allure Villas,6,2023-05-11,38.82183,-9.46195
Rental unit in lisboa,★4.66,"1 bedroom, 1 bed, 1 bath",Lisboa,Santo Antnio,Entire home/apt,121,3,Aspas E Parágrafos,90,2023-05-27,38.71636,-9.15012
Rental unit in lisboa,★4.86,"2 bedrooms, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,82,1,Vítor,315,2023-05-19,38.71915,-9.13178
Rental unit in lisbon,★5.0,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Parque das Naes,Private room,80,1,Diana,5,2019-11-06,38.7737,-9.1034
Rental unit in parede,★4.88,"1 bedroom, 1 bed, 1 bath",Cascais,Carcavelos e Parede,Entire home/apt,79,3,Fernando,72,2023-04-09,38.68496,-9.34809
Rental unit in lisboa,★4.44,"3 bedrooms, 3 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,85,2,André,257,2023-06-02,38.70914,-9.15214
Rental unit in lisboa,★4.81,"2 bedrooms, 1 bed, 1 shared bath",Lisboa,Santo Antnio,Private room,50,20,Casinha Da Tia Maria Project,31,2022-10-01,38.72464,-9.15452
Rental unit in cascais,★Unknown,"2 bedrooms, 3 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,100,7,Sol,1,2020-10-01,38.69712,-9.43599
Rental unit in lisboa,★5.0,"2 bedrooms, 3 beds, 1 bath",Lisboa,Lumiar,Entire home/apt,220,3,André,12,2022-09-26,38.7731,-9.15467
Rental unit in lisboa,★4.46,"1 bedroom, 1 bed, 1 shared bath",Lisboa,So Domingos de Benfica,Private room,31,1,Dener,70,2023-06-09,38.74454,-9.17788
Rental unit in lisboa,★4.83,"1 bedroom, 1 bed, 1 bath",Lisboa,Estrela,Entire home/apt,115,3,Isabel,274,2023-05-31,38.71425,-9.15558
Rental unit in ericeira,★4.78,"2 bedrooms, 4 beds, 1 bath",Mafra,Ericeira,Entire home/apt,194,2,O Quotidiano Equilibrado Unipessoal,49,2023-05-12,38.97235,-9.41582
Home in lisboa,★4.73,"2 bedrooms, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,31,2,Anibal,84,2020-01-04,38.71566,-9.15226
Camper/rv in lisboa,★5.0,"2 bedrooms, 2 beds, Half-bath",Lisboa,Areeiro,Entire home/apt,60,2,Tiago,3,2019-06-24,38.73882,-9.12703
Guest suite in colares,★4.89,"1 bedroom, 1 bed, 1 bath",Sintra,Colares,Entire home/apt,79,2,Rita&Vasco,705,2023-06-05,38.79443,-9.45284
Rental unit in lisboa,★4.82,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,132,2,Rui,250,2023-05-26,38.71762,-9.13662
Rental unit in oeiras,★4.44,"2 bedrooms, 3 beds, 1 bath",Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",Entire home/apt,138,3,Checkinhome,18,2023-05-11,38.68662,-9.31343
Rental unit in lisboa,★Unknown,"2 bedrooms, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,160,1,João,1,2018-03-17,38.71185,-9.15317
Rental unit in lisboa,★4.91,"3 bedrooms, 4 beds, 1.5 baths",Lisboa,Estrela,Entire home/apt,234,3,José,23,2023-05-03,38.7129,-9.15924
Rental unit in lisboa,★4.82,"3 bedrooms, 4 beds, 1.5 baths",Lisboa,Santa Maria Maior,Entire home/apt,143,4,Ege Can,142,2023-06-09,38.71287,-9.12583
Rental unit in lisboa,★4.81,"1 bedroom, 1 bed, 1 bath",Lisboa,Estrela,Entire home/apt,96,2,Helena,258,2023-06-04,38.70709,-9.16183
Rental unit in lisboa,★4.37,"2 bedrooms, 3 beds, 1 bath",Lisboa,Alcntara,Entire home/apt,158,2,Brave,21,2023-05-31,38.69868,-9.19088
Rental unit in lisboa,★4.95,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,59,7,Isabel,205,2020-03-15,38.71533,-9.13685
Hut in sintra,★4.93,"1 bedroom, 2 beds, 1 bath",Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Entire home/apt,70,2,Cristina,114,2023-06-03,38.82278,-9.37722
Rental unit in lisboa,★4.83,"2 bedrooms, 5 beds, 1 bath",Lisboa,So Vicente,Entire home/apt,120,1,Alexandra,242,2023-05-29,38.717838,-9.123409
Guesthouse in colares,★4.58,"Studio, 2 beds, 1 bath",Sintra,Colares,Entire home/apt,57,5,Eduardo,52,2023-03-10,38.81465,-9.47036
Rental unit in lisboa,★4.72,"2 bedrooms, 5 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,142,2,Luis,109,2023-06-01,38.71699,-9.15023
Rental unit in lisboa,★4.86,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,174,2,Alexandra Pedro And Team,245,2023-06-08,38.70987,-9.14985
Rental unit in lisboa,★Unknown,"2 bedrooms, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,200,1,João,1,2018-08-01,38.71185,-9.15317
Rental unit in lisboa,★Unknown,"2 bedrooms, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,180,1,João,2,2022-02-26,38.71185,-9.15317
Rental unit in estoril,★4.75,"2 bedrooms, 2 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,103,7,Ana,63,2023-06-08,38.70474,-9.40005
Rental unit in lisboa,★4.69,"2 bedrooms, 4 beds, 2 baths",Lisboa,Misericrdia,Entire home/apt,120,3,Hometown Experience Lisbon,18,2019-08-16,38.71089,-9.14427
Rental unit in lisboa,★4.95,"2 bedrooms, 2 beds, 1 bath",Lisboa,Estrela,Entire home/apt,179,4,Margarida,107,2023-05-28,38.70922,-9.15585
Rental unit in lisboa,★4.95,"1 bedroom, 1 bed, 1 bath",Lisboa,Parque das Naes,Entire home/apt,40,4,Davide,40,2021-09-30,38.79019,-9.09748
Rental unit in lisboa,★4.70,"2 bedrooms, 4 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,168,3,Seyda,87,2023-06-02,38.70831,-9.13792
Rental unit in lisboa,★5.0,"1 bedroom, 2 beds, 1 bath",Lisboa,Avenidas Novas,Entire home/apt,120,3,Sofia,103,2023-06-07,38.73643,-9.14546
Rental unit in lisboa,★4.85,"3 bedrooms, 3 beds, 1 shared bath",Lisboa,Olivais,Private room,47,1,Alberto,603,2023-06-04,38.76527,-9.12338
Rental unit in lisboa,★5.0,"1 bedroom, 4 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,95,1,Sandra,10,2022-10-03,38.7099,-9.14575
Rental unit in lisboa,★4.68,"1 bedroom, 2 beds, 1 bath",Lisboa,Estrela,Entire home/apt,126,3,Luís,60,2023-04-21,38.70749,-9.15742
Rental unit in lisboa,★4.64,"2 bedrooms, 4 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,151,2,Jose,149,2023-06-02,38.711,-9.14334
Rental unit in lisboa,★4.93,"2 bedrooms, 3 beds, 1 bath",Lisboa,Areeiro,Entire home/apt,55,8,Mafalda,101,2022-08-13,38.7424,-9.13658
Rental unit in ericeira,★4.95,"1 bedroom, 3 beds, 1 bath",Mafra,Ericeira,Entire home/apt,82,2,Casas Burnay,58,2023-05-03,38.96812,-9.4183
Serviced apartment in lisboa,★4.56,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Hotel room,137,1,Rita,18,2022-11-29,38.71506,-9.14062
Rental unit in lisbon,★4.96,"Studio, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,173,1,Lisbonne,75,2023-05-30,38.70937,-9.13244
Rental unit in lisboa,★4.74,"1 bedroom, 1 bed, 1 private bath",Lisboa,Santa Maria Maior,Private room,50,1,Helder,163,2023-05-31,38.71923,-9.13595
Rental unit in lisboa,★4.69,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Clara,Entire home/apt,20,2,Bruno,36,2023-03-11,38.7901,-9.15478
Rental unit in torres vedras,★4.95,"2 bedrooms, 2 beds, 2 baths",Torres vedras,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",Entire home/apt,95,2,Maria,21,2019-09-25,39.09109,-9.2586
Rental unit in lisboa,★4.58,"1 bedroom, 1 bed, 1 private bath",Lisboa,Olivais,Private room,60,5,Paula,37,2023-05-24,38.76244,-9.11454
Hostel in lisboa,★Unknown,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,208,2,Madalena,1,2018-08-13,38.7084,-9.13389
Rental unit in lisboa,★4.73,"2 bedrooms, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,175,3,Paulo,132,2023-05-26,38.71106,-9.14776
Rental unit in lisboa,★4.73,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Estrela,Private room,66,2,Maria,192,2023-06-12,38.71037,-9.15339
Cottage in sintra,★4.86,"2 bedrooms, 4 beds, 2 baths",Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Entire home/apt,190,4,Izumi,22,2022-10-30,38.79767,-9.39114
Rental unit in lisboa,★4.91,"2 bedrooms, 3 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,97,3,Ana,180,2023-06-04,38.71982,-9.1434
Rental unit in ericeira,★4.88,"4 bedrooms, 5 beds, 2.5 baths",Mafra,Ericeira,Entire home/apt,321,4,Sergio,43,2023-04-13,38.96326,-9.41674
Rental unit in lisboa,★4.94,"1 bedroom, 1 bed, 1.5 shared baths",Lisboa,Santo Antnio,Private room,34,2,Teresa,47,2021-10-01,38.72734,-9.1452
Rental unit in lisboa,★3.20,"Studio, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,85,1,Eduardo,5,2023-05-21,38.71143,-9.14491
Rental unit in lisboa,★4.61,"1 bedroom, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,125,2,Alexandra Pedro And Team,138,2023-05-30,38.71727,-9.13729
Rental unit in lisboa,★4.98,"2 bedrooms, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,220,3,António,42,2023-06-07,38.71103,-9.13003
Rental unit in lisboa,★4.99,"2 bedrooms, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,215,2,Nest@Lisbon,190,2023-05-16,38.7099,-9.13444
Rental unit in lisboa,★4.95,"2 bedrooms, 3 beds, 2 baths",Lisboa,Alcntara,Entire home/apt,205,2,Cyril,338,2023-06-10,38.70623,-9.17527
Rental unit in cascais,★5.0,"1 bedroom, 2 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,70,3,Tommaso,6,2019-07-13,38.70394,-9.42963
Home in mafra,★4.96,"1 bedroom, 1 bed, 1 bath",Mafra,Mafra,Entire home/apt,80,2,Vitor,23,2023-05-23,38.97407,-9.32055
Rental unit in damaia,★4.79,"1 bedroom, 2 beds, 1.5 shared baths",Amadora,guas Livres,Private room,13,5,João,24,2020-10-11,38.74889,-9.21941
Villa in lisboa,★4.81,"3 bedrooms, 4 beds, 3 baths",Torres vedras,Turcifal,Entire home/apt,170,4,Diana,22,2022-08-26,39.01937,-9.23864
Rental unit in ericeira,★4.96,"1 bedroom, 1 bed, 1 bath",Mafra,Ericeira,Entire home/apt,80,2,Casas Burnay,82,2023-05-27,38.96982,-9.41831
Rental unit in lisboa,★4.88,"1 bedroom, 1 bed, 1 bath",Lisboa,Estrela,Entire home/apt,150,3,Isabel,293,2023-06-07,38.714,-9.15542
Rental unit in amadora,★4.44,"2 bedrooms, 1 bed, 1.5 shared baths",Amadora,guas Livres,Private room,10,4,João,9,2018-09-01,38.74897,-9.21763
Rental unit in damaia,★4.71,"2 bedrooms, 1 bed, 1.5 shared baths",Amadora,guas Livres,Private room,12,4,João,14,2021-01-01,38.74887,-9.21929
Rental unit in lisboa,★4.91,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,152,2,Joana & João,281,2023-06-11,38.71191,-9.14372
Home in são joão das lampas,★4.67,"3 bedrooms, 3 beds, 1 bath",Sintra,So Joo das Lampas e Terrugem,Entire home/apt,189,1,Guilherme,30,2023-05-10,38.84443,-9.43442
Dome in lisboa,★4.64,"2 bedrooms, 5 beds, 1 bath",Lisboa,So Vicente,Entire home/apt,96,1,Sergio,105,2023-05-29,38.71457,-9.12882
Rental unit in lisboa,★Unknown,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Lumiar,Private room,100,4,João,0,,38.77185,-9.15446
Rental unit in lisboa,★4.90,"2 bedrooms, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,161,2,Joana & João,206,2023-05-31,38.71191,-9.14372
Rental unit in lisboa,★4.94,"1 bedroom, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,110,3,Ana Rita,82,2023-06-06,38.7331,-9.14032
Home in paço de arcos,★4.90,"1 bedroom, 1 bed, 1 private bath",Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",Private room,50,2,Carlos,32,2023-05-18,38.69845,-9.29082
Rental unit in lisboa,★4.65,"2 bedrooms, 1 bed, 1 shared bath",Lisboa,So Vicente,Private room,51,1,Alex,255,2023-06-09,38.71873,-9.12682
Condo in lisboa,★4.73,"2 bedrooms, 3 beds, 1 bath",Lisboa,Ajuda,Entire home/apt,70,5,Anja,23,2022-11-04,38.70934,-9.19952
Home in são joão das lampas,★4.68,"2 bedrooms, 2 beds, 1 bath",Sintra,So Joo das Lampas e Terrugem,Entire home/apt,104,4,João,62,2022-10-18,38.8503,-9.4505
Rental unit in lisboa,★4.72,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,153,2,Patrícia,248,2023-05-30,38.71221,-9.13213
Rental unit in lisboa,★4.75,"5 bedrooms, 5 beds, 2 baths",Lisboa,Arroios,Entire home/apt,300,2,Diogo,63,2022-08-19,38.725601,-9.134972
Rental unit in lisboa,★4.67,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,86,2,Felipe,190,2023-05-29,38.71104,-9.1492
Rental unit in lisboa,★4.54,"2 bedrooms, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,82,2,João,157,2023-05-25,38.71283,-9.12781
Rental unit in lisboa,★4.94,"2 bedrooms, 3 beds, 2 baths",Lisboa,Misericrdia,Entire home/apt,159,3,António,255,2023-06-07,38.71341,-9.14404
Rental unit in lisboa,★4.69,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,130,2,Carla & João,119,2023-06-10,38.71235,-9.14074
Rental unit in lisboa,★4.65,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Areeiro,Private room,56,2,Inês & Duarte,63,2023-03-31,38.73893,-9.13231
Rental unit in lisboa,★4.62,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Areeiro,Private room,52,2,Inês & Duarte,55,2022-12-29,38.73816,-9.13284
Rental unit in cascais,★5.0,"1 bedroom, 1 bed, 1 shared bath",Cascais,Cascais e Estoril,Private room,100,4,Carla,32,2022-09-26,38.70463,-9.43091
Rental unit in lisboa,★4.77,"3 bedrooms, 4 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,247,3,Marisa,126,2023-06-08,38.71185,-9.14204
Rental unit in lisboa,★4.43,"3 bedrooms, 4 beds, 1.5 baths",Lisboa,Santo Antnio,Entire home/apt,135,2,Sofia,23,2022-03-26,38.72655,-9.146
Rental unit in lisboa,★4.67,"2 bedrooms, 3 beds, 2 baths",Lisboa,Misericrdia,Entire home/apt,191,3,Manuel,113,2023-05-21,38.7092,-9.14567
Rental unit in lisboa,★4.53,"3 bedrooms, 6 beds, 2 baths",Lisboa,Parque das Naes,Entire home/apt,141,2,Carla & João,59,2023-06-05,38.76142,-9.09794
Castle in lisboa,★4.63,"1 bedroom, 2 beds, 8.5 baths",Lisboa,Arroios,Private room,70,1,Maria De Jesus,64,2023-05-27,38.71778,-9.13821
Rental unit in lisboa,★4.73,"1 bedroom, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,86,4,Cândida,141,2023-05-25,38.73343,-9.13436
Rental unit in lisboa,★4.92,"1 bedroom, 1 bed, 2 shared baths",Lisboa,So Vicente,Private room,75,2,Christina,24,2023-05-30,38.7192436230034,-9.12985661739619
Home in algueirão-mem martins,★4.79,"4 bedrooms, 4 beds, 4 baths",Sintra,Algueiro-Mem Martins,Entire home/apt,323,3,Idália,39,2023-05-01,38.79639,-9.3444
Tiny home in lisboa,★4.74,"1 bedroom, 1 bed, 1 private bath",Lisboa,Santa Maria Maior,Private room,99,1,Filipa,19,2023-05-06,38.71311,-9.13534
Rental unit in lisbon,★4.64,"2 bedrooms, 2 beds, 2.5 baths",Lisboa,Belm,Entire home/apt,250,1,BeGuest,11,2023-04-30,38.69953,-9.22679
Tiny home in lisboa,★4.48,"1 bedroom, 1 bed, 1 private bath",Lisboa,Santa Maria Maior,Private room,131,1,Filipa,27,2023-01-02,38.71308,-9.13535
Serviced apartment in lisboa,★3.84,"2 bedrooms, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,94,1,Wallis,81,2023-04-07,38.71474,-9.12974
Serviced apartment in lisboa,★4.16,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,97,1,Wallis,51,2023-05-30,38.71539,-9.12929
Serviced apartment in lisboa,★4.26,"Studio, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,83,1,Wallis,74,2023-05-14,38.71471,-9.12876
Rental unit in lisboa,★4.78,"1 bedroom, 2 beds, 1 bath",Lisboa,Parque das Naes,Entire home/apt,90,3,João,37,2019-12-29,38.78055,-9.09628
Home in ericeira,★4.88,"1 bedroom, 3 beds, 0 shared baths",Mafra,Carvoeira,Shared room,20,2,Birgit,43,2023-06-04,38.95219,-9.41156
Rental unit in lisboa,★4.19,"2 bedrooms, 4 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,144,2,Aquilino & Joana,86,2023-05-08,38.71554,-9.13337
Guesthouse in ericeira,★4.91,"1 bedroom, 2 beds, 2 shared baths",Mafra,Carvoeira,Shared room,48,3,Birgit,22,2022-04-20,38.94812,-9.410805
Rental unit in lisboa,★4.91,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,180,3,Tiago,144,2023-06-07,38.71123,-9.14801
Rental unit in lisboa,★4.45,"1 bedroom, 3 beds, 1 shared bath",Lisboa,Marvila,Private room,100,1,Nelson,98,2022-10-15,38.74669,-9.12059
Home in parede,★4.96,"2 bedrooms, 3 beds, 1 bath",Cascais,Carcavelos e Parede,Entire home/apt,159,2,Nuno & Camilla,26,2023-05-22,38.7017,-9.36243
Rental unit in lisboa,★4.23,"3 bedrooms, 4 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,70,2,Krunal,35,2020-01-04,38.71735,-9.13436
Rental unit in lisboa,★4.60,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,90,3,Talia,41,2022-09-06,38.71522,-9.14574
Home in carvoeira,★4.86,"1 bedroom, 2 beds, 2 shared baths",Mafra,Carvoeira,Shared room,20,2,Birgit,43,2023-06-04,38.947788,-9.410613
Rental unit in lisboa,★4.77,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,165,3,Sérgio,13,2023-05-21,38.71053,-9.15049
Rental unit in lisboa,★Unknown,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,50,2,Gonçalo,1,2018-03-05,38.72105,-9.12303
Casa particular in lisboa,★4.91,"5 bedrooms, 10 beds, 3 baths",Lisboa,Misericrdia,Entire home/apt,380,2,Luís E Rita,202,2023-06-10,38.71135,-9.14855
Home in cardosas,★4.82,"5 bedrooms, 11 beds, 3 baths",Arruda dos vinhos,Cardosas,Entire home/apt,328,2,Patricia,72,2023-05-14,38.97631,-9.03844
Rental unit in lisboa,★4.66,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,51,2,Christophe,102,2023-06-06,38.71209,-9.1283
Rental unit in lisboa,★4.84,"1 bedroom, 1 bed, 1 bath",Lisboa,Campo de Ourique,Entire home/apt,70,3,Helena,19,2019-07-29,38.71742,-9.16993
Rental unit in lisboa,★4.81,"3 bedrooms, 3 beds, 1.5 baths",Lisboa,Santo Antnio,Entire home/apt,1179,3,Antonio,101,2023-03-26,38.71844,-9.15071
Rental unit in lisboa,★4.88,"2 bedrooms, 4 beds, 2 baths",Lisboa,Misericrdia,Entire home/apt,452,2,Tomás,144,2023-05-27,38.70766,-9.14207
Rental unit in lisboa,★4.94,"5 bedrooms, 10 beds, 3 baths",Lisboa,Misericrdia,Entire home/apt,282,2,Luis,172,2023-06-07,38.71093,-9.15348
Rental unit in lisboa,★4.93,"3 bedrooms, 4 beds, 3 baths",Lisboa,Santa Maria Maior,Entire home/apt,634,3,Tomás,167,2023-06-04,38.70867,-9.14217
Serviced apartment in lisboa,★5.0,"2 bedrooms, 3 beds, 2 baths",Lisboa,Misericrdia,Hotel room,785,1,Martinhal Chiado Family Suites,4,2021-10-12,38.70805,-9.14272
Serviced apartment in lisboa,★4.66,"1 bedroom, 1 bed, 1 bath",Lisboa,Santo Antnio,Entire home/apt,110,3,Bernardo E Ana Rita,47,2023-05-25,38.71696,-9.1511
Rental unit in lisboa,★4.08,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,180,1,Feels Like Home,12,2021-08-21,38.71474,-9.14153
Rental unit in lisboa,★4.78,"1 bedroom, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,102,7,Casinha Da Tia Maria Project,120,2023-05-13,38.72534,-9.13249
Rental unit in lisboa,★4.94,"Studio, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,75,1,Mariateresa,157,2023-06-06,38.72334,-9.13389
Rental unit in lisboa,★4.94,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,80,2,Carolina,85,2023-05-14,38.71225,-9.14903
Loft in lisboa,★4.90,"2 bedrooms, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,100,3,"Lartimo - Imobiliária,",248,2023-06-09,38.7094,-9.14719
Rental unit in lisboa,★4.57,"3 bedrooms, 4 beds, 2 baths",Lisboa,So Vicente,Entire home/apt,88,3,Bruno,89,2020-08-10,38.71515,-9.13127
