;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
";Esperança de vida aos 65 anos;;;;;;
;%;N.º;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2021;;;;;;;;;;;2019-2021;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Ferreira do Zêzere; 4,0;  0,59; 302,0; 60,7; 57,0; 55,2; 89,6; 119,0;x;x;x;x;x;;16I1411;;;;x
Mação; 22,2;  0,33; 556,3; 48,8; 82,7; 61,7; 91,7; 75,0;x;x;x;x;x;;16I1413;;;;x
Ourém; 1,3;  1,19; 222,2; 74,2; 44,0; 54,2; 88,5; 101,1;x;x;x;x;x;;16I1421;;;;x
Sardoal; 11,1;  0,17; 374,2; 54,2; 55,0; 54,2; 92,7; 50,0;x;x;x;x;x;;16I1417;;;;x
Sertã; 5,4;  0,66; 295,8; 58,6; 54,3; 54,1; 93,1; 164,9;x;x;x;x;x;;16I0509;;;;x
Tomar; 12,5;  0,41; 296,2; 60,8; 52,1; 52,3; 88,8; 76,2;x;x;x;x;x;;16I1418;;;;x
Torres Novas; 0,0;  0,30; 239,9; 62,1; 47,6; 52,7; 91,1; 126,7;x;x;x;x;x;;16I1419;;;;x
Vila de Rei; 0,0;  0,36; 431,3; 66,3; 78,5; 62,0; 87,7; 300,0;x;x;x;x;x;;16I0510;;;;x
Vila Nova da Barquinha; 9,1;  0,23; 211,7; 66,1; 45,6; 54,3; 89,9; 77,8;x;x;x;x;x;;16I1420;;;;x
   Beiras e Serra da Estrela; 8,3;  0,52; 340,7; 55,4; 57,8; 53,7; 90,4; 121,6; 30,3; 31,6; 34,0;  80,20;  19,73;;16J;;;x;
Almeida; 0,0;  0,25; 723,2; 45,0; 87,3; 59,5; 88,0; 114,3;x;x;x;x;x;;16J0902;;;;x
Belmonte; 0,0;  0,35; 317,1; 52,9; 57,0; 56,2; 90,8; 175,0;x;x;x;x;x;;16J0501;;;;x
Celorico da Beira; 30,0;  0,33; 373,2; 51,1; 62,7; 55,5; 89,8; 120,0;x;x;x;x;x;;16J0903;;;;x
Covilhã; 12,5;  0,81; 291,1; 61,2; 50,7; 49,6; 90,6; 111,2;x;x;x;x;x;;16J0503;;;;x
Figueira de Castelo Rodrigo; 0,0;  0,14; 383,5; 50,6; 72,7; 57,9; 90,7; 133,3;x;x;x;x;x;;16J0904;;;;x
Fornos de Algodres; 0,0;  0,18; 413,7; 52,0; 66,1; 59,0; 86,4; 300,0;x;x;x;x;x;;16J0905;;;;x
Fundão; 3,3;  0,68; 325,8; 55,1; 57,1; 53,7; 92,6; 120,7;x;x;x;x;x;;16J0504;;;;x
Gouveia; 4,0;  0,20; 425,6; 49,5; 72,7; 54,9; 87,9; 140,0;x;x;x;x;x;;16J0906;;;;x
Guarda; 11,5;  0,80; 228,6; 65,3; 39,9; 51,0; 90,9; 129,1;x;x;x;x;x;;16J0907;;;;x
Manteigas; 20,0;  0,58; 524,2; 51,8; 72,4; 49,3; 88,0; 112,5;x;x;x;x;x;;16J0908;;;;x
Mêda; 0,0;  0,06; 469,8; 45,5; 72,6; 57,4; 90,4; 0,0;x;x;x;x;x;;16J0909;;;;x
Pinhel; 0,0;  0,11; 506,9; 46,2; 71,9; 57,2; 91,7; 350,0;x;x;x;x;x;;16J0910;;;;x
Sabugal; 0,0;  0,11; 594,5; 43,2; 93,6; 60,7; 89,4; 160,0;x;x;x;x;x;;16J0911;;;;x
Seia; 6,8;  0,28; 358,1; 50,9; 62,4; 51,1; 89,7; 69,4;x;x;x;x;x;;16J0912;;;;x
Trancoso; 0,0;  0,21; 408,9; 49,1; 65,1; 56,7; 90,3; 350,0;x;x;x;x;x;;16J0913;;;;x
  A. M. Lisboa; 20,4;  1,89; 152,5; 88,8; 34,2; 49,2; 88,7; 113,5; 30,5; 34,8; 36,4;  80,75;  19,60;;170;;x;x;
Alcochete; 4,9;  1,00; 111,6; 85,6; 26,9; 48,4; 92,6; 100,0;x;x;x;x;x;;1701502;;;;x
Almada; 22,7;  1,55; 176,8; 81,7; 38,8; 50,5; 88,2; 101,5;x;x;x;x;x;;1701503;;;;x
Amadora; 7,7;  1,88; 156,1; 97,1; 35,3; 49,7; 86,2; 115,4;x;x;x;x;x;;1701115;;;;x
Barreiro; 25,6;  1,27; 196,2; 84,5; 42,1; 49,9; 87,7; 97,0;x;x;x;x;x;;1701504;;;;x
Cascais; 26,0;  2,30; 159,5; 75,3; 36,5; 48,8; 87,0; 100,1;x;x;x;x;x;;1701105;;;;x
Lisboa; 28,4;  3,42; 177,8; 98,9; 37,0; 54,2; 87,1; 125,5;x;x;x;x;x;;1701106;;;;x
Loures; 10,8;  1,65; 150,0; 90,4; 35,1; 48,8; 89,2; 114,5;x;x;x;x;x;;1701107;;;;x
Mafra; 8,3;  1,29; 111,2; 83,0; 27,3; 48,3; 94,0; 109,1;x;x;x;x;x;;1701109;;;;x
Moita; 3,8;  1,18; 150,0; 82,3; 35,1; 45,0; 89,5; 97,5;x;x;x;x;x;;1701506;;;;x
Montijo; 3,0;  1,61; 116,5; 93,2; 28,8; 48,6; 94,7; 158,0;x;x;x;x;x;;1701507;;;;x
Odivelas;x;  2,20; 138,2; 95,5; 33,0; 47,2; 89,0; 132,7;x;x;x;x;x;;1701116;;;;x
Oeiras; 24,5;  1,21; 173,0; 82,5; 39,3; 50,1; 86,5; 98,7;x;x;x;x;x;;1701110;;;;x
Palmela; 1,1;  0,80; 148,7; 78,8; 33,1; 50,8; 92,8; 117,4;x;x;x;x;x;;1701508;;;;x
Seixal; 14,9;  1,32; 149,1; 86,3; 34,5; 45,0; 89,2; 99,3;x;x;x;x;x;;1701510;;;;x
Sesimbra; 22,1;  0,97; 140,7; 77,8; 32,1; 46,9; 94,2; 94,7;x;x;x;x;x;;1701511;;;;x
Setúbal; 25,2;  1,25; 167,3; 78,4; 37,6; 47,5; 89,8; 109,1;x;x;x;x;x;;1701512;;;;x
Sintra; 12,8;  1,57; 123,1; 94,9; 27,0; 46,5; 88,9; 104,1;x;x;x;x;x;;1701111;;;;x
Vila Franca de Xira; 7,0;  0,83; 124,8; 84,2; 28,5; 43,4; 91,1; 95,0;x;x;x;x;x;;1701114;;;;x
  Alentejo; 12,5;  0,93; 219,5; 66,4; 44,5; 52,7; 94,1; 190,4; 29,6; 33,9; 35,1;  79,83;  18,85;;18;;x;;
   Alentejo Litoral; 16,4;  2,59; 222,3; 70,6; 42,0; 51,0; 103,5; 270,5; 29,4; 36,2; 37,8;  79,70;  19,36;;181;;;x;
Alcácer do Sal; 13,0;  0,70; 290,6; 54,7; 54,3; 49,3; 93,5; 151,6;x;x;x;x;x;;1811501;;;;x
Grândola; 6,8;  1,10; 222,7; 63,7; 45,1; 53,3; 104,0; 139,1;x;x;x;x;x;;1811505;;;;x
Odemira; 3,3;  6,38; 220,3; 99,9; 33,4; 54,2; 123,8; 346,9;x;x;x;x;x;;1810211;;;;x
Santiago do Cacém; 21,0;  0,73; 237,7; 54,1; 49,7; 49,5; 94,0; 126,7;x;x;x;x;x;;1811509;;;;x
Sines; 26,2;  1,28; 158,7; 67,9; 35,6; 47,3; 92,7; 163,8;x;x;x;x;x;;1811513;;;;x
   Baixo Alentejo; 11,7;  0,85; 216,4; 63,2; 45,6; 52,1; 96,4; 314,9; 28,5; 31,9; 33,2;  78,29;  17,78;;184;;;x;
Aljustrel; 0,0;  0,36; 236,9; 58,8; 48,3; 48,8; 97,2; 255,6;x;x;x;x;x;;1840201;;;;x
Almodôvar; 0,0;  0,53; 295,5; 57,3; 56,4; 53,3; 96,8; 260,0;x;x;x;x;x;;1840202;;;;x
Alvito; 16,7;  0,52; 226,5; 60,4; 49,4; 55,2; 91,1; 140,0;x;x;x;x;x;;1840203;;;;x
Barrancos; 25,0;  0,21; 222,2; 53,0; 43,3; 55,8; 96,6; 200,0;x;x;x;x;x;;1840204;;;;x
Beja; 18,1;  1,10; 165,7; 71,5; 37,3; 51,2; 95,6; 233,3;x;x;x;x;x;;1840205;;;;x
Castro Verde; 0,0;  0,36; 226,1; 59,4; 44,2; 50,8; 93,9; 177,8;x;x;x;x;x;;1840206;;;;x
Cuba; 0,0;  3,51; 197,0; 64,5; 42,5; 55,8; 97,5;2 466,7;x;x;x;x;x;;1840207;;;;x
Ferreira do Alentejo; 15,6;  1,94; 245,0; 69,4; 48,4; 50,1; 101,3; 733,3;x;x;x;x;x;;1840208;;;;x
Mértola; 23,8;  0,39; 419,1; 41,2; 67,8; 55,0; 98,8; 118,2;x;x;x;x;x;;1840209;;;;x
Moura; 6,7;  0,07; 177,1; 68,5; 44,7; 51,5; 94,2; 50,0;x;x;x;x;x;;1840210;;;;x
Ourique; 0,0;  1,03; 336,4; 51,7; 60,7; 56,2; 96,3; 72,4;x;x;x;x;x;;1840212;;;;x
Serpa; 0,0;  0,73; 244,3; 59,1; 46,7; 51,6; 99,1; 566,7;x;x;x;x;x;;1840213;;;;x
Vidigueira; 11,1;  0,19; 213,1; 66,9; 46,2; 53,5; 94,5; 100,0;x;x;x;x;x;;1840214;;;;x
   Lezíria do Tejo; 11,1;  0,82; 201,7; 70,9; 41,9; 51,8; 92,2; 144,0; 30,0; 33,8; 35,2;  79,95;  19,03;;185;;;x;
Almeirim; 14,3;  0,82; 194,4; 72,6; 41,8; 52,3; 90,7; 125,0;x;x;x;x;x;;1851403;;;;x
Alpiarça; 4,2;  0,52; 244,3; 69,9; 50,2; 51,3; 91,2; 176,9;x;x;x;x;x;;1851404;;;;x
Azambuja; 14,6;  1,00; 182,0; 77,5; 36,8; 50,6; 101,1; 102,8;x;x;x;x;x;;1851103;;;;x
Benavente; 12,4;  0,79; 131,8; 85,4; 30,3; 48,9; 92,3; 103,4;x;x;x;x;x;;1851405;;;;x
Cartaxo; 9,4;  0,71; 202,1; 70,3; 40,4; 51,0; 92,3; 163,5;x;x;x;x;x;;1851406;;;;x
Chamusca; 40,0;  0,27; 299,0; 53,7; 55,1; 53,8; 93,2; 187,5;x;x;x;x;x;;1851407;;;;x
Coruche; 0,0;  0,21; 312,0; 51,5; 59,1; 55,0; 89,4; 260,0;x;x;x;x;x;;1851409;;;;x
Golegã; 10,0;  0,35; 254,0; 69,8; 48,6; 52,6; 89,0; 533,3;x;x;x;x;x;;1851412;;;;x
Rio Maior; 12,5;  1,45; 180,2; 79,5; 38,5; 50,9; 94,9; 152,9;x;x;x;x;x;;1851414;;;;x
Salvaterra de Magos; 6,6;  0,40; 218,1; 67,3; 44,4; 51,0; 92,1; 168,8;x;x;x;x;x;;1851415;;;;x
Santarém; 12,2;  1,09; 208,4; 69,0; 43,2; 52,4; 89,8; 162,3;x;x;x;x;x;;1851416;;;;x
   Alto Alentejo; 10,3;  0,39; 255,9; 59,4; 51,2; 55,4; 90,5; 93,8; 28,9; 34,6; 36,1;  79,24;  18,44;;186;;;x;
Alter do Chão; 11,1;  0,26; 318,3; 50,9; 64,2; 60,2; 85,4; 33,3;x;x;x;x;x;;1861201;;;;x
Arronches; 33,3;  0,50; 290,7; 58,8; 54,2; 62,6; 97,9; 100,0;x;x;x;x;x;;1861202;;;;x
Avis; 12,5;  0,21; 291,0; 63,0; 57,4; 54,6; 88,8; 100,0;x;x;x;x;x;;1861203;;;;x
Campo Maior; 7,7;  0,29; 164,4; 80,6; 38,9; 49,8; 93,1; 64,3;x;x;x;x;x;;1861204;;;;x
Castelo de Vide; 0,0;  0,83; 382,8; 56,3; 65,2; 58,3; 91,7; 100,0;x;x;x;x;x;;1861205;;;;x
Crato; 0,0;  0,12; 447,0; 45,5; 78,2; 58,7; 85,9; 300,0;x;x;x;x;x;;1861206;;;;x
Elvas; 20,0;  0,39; 176,2; 65,7; 39,3; 52,8; 90,5; 88,4;x;x;x;x;x;;1861207;;;;x
Fronteira; 25,0;  0,17; 329,4; 46,4; 60,5; 54,3; 89,8; 150,0;x;x;x;x;x;;1861208;;;;x
Gavião; 0,0;  0,12; 557,5; 39,6; 84,3; 64,3; 87,7; 100,0;x;x;x;x;x;;1861209;;;;x
Marvão; 0,0;  1,42; 362,2; 48,1; 64,4; 57,3; 90,9; 95,5;x;x;x;x;x;;1861210;;;;x
Monforte; 0,0;  0,07; 214,4; 75,4; 50,2; 61,1; 89,3; 100,0;x;x;x;x;x;;1861211;;;;x
Nisa; 0,0;  0,24; 534,5; 46,0; 78,1; 59,5; 89,8; 75,0;x;x;x;x;x;;1861212;;;;x
Ponte de Sor; 5,0;  0,28; 262,1; 55,3; 49,8; 54,7; 92,4; 152,9;x;x;x;x;x;;1861213;;;;x
Portalegre; 7,1;  0,49; 229,7; 61,1; 45,9; 51,1; 90,2; 89,7;x;x;x;x;x;;1861214;;;;x
Sousel; 11,1;  0,46; 294,0; 61,1; 58,2; 59,8; 86,7; 81,8;x;x;x;x;x;;1861215;;;;x
   Alentejo Central; 13,9;  0,49; 225,3; 64,7; 44,8; 53,5; 92,4; 115,1; 30,0; 33,8; 34,6;  80,17;  19,37;;187;;;x;
Alandroal; 29,4;  0,22; 323,4; 47,7; 54,5; 59,7; 93,8; 175,0;x;x;x;x;x;;1870701;;;;x
Arraiolos; 0,0;  0,20; 255,3; 58,7; 47,3; 53,4; 96,3; 116,7;x;x;x;x;x;;1870702;;;;x
Borba; 0,0;  0,11; 248,5; 51,2; 48,9; 56,3; 95,9; 75,0;x;x;x;x;x;;1870703;;;;x
Estremoz; 0,0;  0,13; 251,8; 56,4; 48,5; 59,8; 90,6; 77,8;x;x;x;x;x;;1870704;;;;x
Évora; 19,0;  0,80; 180,4; 72,6; 37,5; 48,3; 90,4; 103,3;x;x;x;x;x;;1870705;;;;x
Montemor-o-Novo; 14,0;  0,47; 264,9; 62,4; 51,9; 56,4; 92,3; 120,6;x;x;x;x;x;;1870706;;;;x
Mora; 20,0;  0,12; 446,3; 47,5; 73,8; 55,7; 91,2; 150,0;x;x;x;x;x;;1870707;;;;x
Mourão; 0,0;  0,38; 195,8; 64,7; 47,5; 54,0; 102,8; 80,0;x;x;x;x;x;;1870708;;;;x
Portel; 8,3;  0,23; 246,2; 66,5; 47,4; 53,4; 96,4; 550,0;x;x;x;x;x;;1870709;;;;x
Redondo; 36,8;  0,16; 241,6; 64,4; 45,9; 54,5; 95,4; 100,0;x;x;x;x;x;;1870710;;;;x
Reguengos de Monsaraz; 8,7;  0,30; 218,1; 63,9; 44,0; 53,6; 94,0; 130,8;x;x;x;x;x;;1870711;;;;x
Vendas Novas; 0,0;  0,97; 249,6; 79,7; 50,8; 55,7; 92,6; 142,2;x;x;x;x;x;;1870712;;;;x
Viana do Alentejo; 7,7;  0,22; 205,8; 60,8; 42,3; 58,1; 91,1; 200,0;x;x;x;x;x;;1870713;;;;x
Vila Viçosa; 12,9;  0,19; 243,1; 55,6; 43,3; 52,1; 93,2; 133,3;x;x;x;x;x;;1870714;;;;x
  Algarve; 22,3;  2,57; 178,8; 69,4; 38,4; 46,9; 93,4; 123,2; 29,3; 34,3; 35,9;  79,78;  19,21;;150;;x;x;
Albufeira; 28,3;  4,32; 133,9; 78,0; 27,4; 42,7; 95,1; 125,1;x;x;x;x;x;;1500801;;;;x
Alcoutim; 5,0;  1,52; 791,3; 44,9; 103,5; 58,9; 94,4; 137,5;x;x;x;x;x;;1500802;;;;x
Aljezur; 15,4;  5,39; 212,0; 56,7; 44,9; 52,8; 99,3; 101,2;x;x;x;x;x;;1500803;;;;x
Castro Marim; 44,2;  1,40; 298,7; 58,3; 58,3; 49,3; 95,5; 172,7;x;x;x;x;x;;1500804;;;;x
Faro; 3,0;  1,99; 163,1; 80,4; 34,6; 47,6; 89,9; 142,7;x;x;x;x;x;;1500805;;;;x
Lagoa; 14,8;  2,33; 174,7; 65,1; 37,8; 44,0; 94,7; 140,4;x;x;x;x;x;;1500806;;;;x
Lagos; 14,3;  3,40; 199,2; 61,2; 40,6; 43,8; 93,5; 108,2;x;x;x;x;x;;1500807;;;;x
Loulé; 25,5;  2,55; 173,5; 68,7; 37,7; 48,3; 92,7; 110,7;x;x;x;x;x;;1500808;;;;x
Monchique; 29,4;  1,56; 337,4; 43,4; 61,6; 54,2; 99,7; 136,1;x;x;x;x;x;;1500809;;;;x
Olhão; 4,0;  1,52; 163,5; 73,0; 37,0; 46,2; 94,7; 112,6;x;x;x;x;x;;1500810;;;;x
Portimão; 7,5;  2,69; 158,4; 77,0; 35,9; 46,2; 91,5; 126,4;x;x;x;x;x;;1500811;;;;x
São Brás de Alportel; 31,1;  1,10; 194,2; 67,0; 43,5; 50,5; 92,5; 106,7;x;x;x;x;x;;1500812;;;;x
Silves; 22,7;  2,14; 185,2; 63,3; 40,8; 48,9; 96,0; 140,6;x;x;x;x;x;;1500813;;;;x
Tavira; 5,0;  3,06; 257,2; 55,8; 51,2; 46,3; 96,5; 130,1;x;x;x;x;x;;1500814;;;;x
Vila do Bispo; 13,2;  5,57; 214,6; 51,4; 46,4; 48,9; 94,6; 97,5;x;x;x;x;x;;1500815;;;;x
Vila Real de Santo António; 36,6;  1,54; 199,7; 66,2; 43,8; 44,3; 91,9; 138,8;x;x;x;x;x;;1500816;;;;x
 R. A. Açores; 4,5;  0,29; 116,2; 87,0; 24,5; 43,2; 94,7; 107,6; 29,1; 30,7; 32,8;  78,18;  17,58;;200;x;x;x;
  Santa Maria; 22,2;  0,50; 125,7; 82,0; 26,1; 42,4; 90,9; 107,7;x;x;x;x;x;;-;;;;
Vila do Porto; 22,2;  0,50; 125,7; 82,0; 26,1; 42,4; 90,9; 107,7;x;x;x;x;x;;2004101;;;;x
  São Miguel; 2,9;  0,28; 92,9; 97,9; 20,4; 42,0; 94,9; 101,1;x;x;x;x;x;;-;;;;
Lagoa (R.A.A.); 1,7;  0,14; 79,0; 105,1; 18,2; 41,4; 95,7; 150,0;x;x;x;x;x;;2004201;;;;x
Nordeste; 0,0;  0,25; 165,7; 78,8; 31,8; 48,2; 96,7; 83,3;x;x;x;x;x;;2004202;;;;x
Ponta Delgada; 4,4;  0,41; 107,9; 91,8; 21,9; 42,1; 92,3; 91,7;x;x;x;x;x;;2004203;;;;x
Povoação; 4,8;  0,28; 131,7; 80,2; 25,4; 44,2; 95,8; 220,0;x;x;x;x;x;;2004204;;;;x
Ribeira Grande; 4,7;  0,11; 58,6; 116,9; 15,5; 40,5; 98,0; 135,7;x;x;x;x;x;;2004205;;;;x
Vila Franca do Campo; 0,0;  0,19; 105,2; 100,1; 21,8; 40,1; 100,3; 100,0;x;x;x;x;x;;2004206;;;;x
  Terceira; 4,8;  0,20; 144,0; 79,5; 28,6; 42,7; 93,6; 78,0;x;x;x;x;x;;-;;;;
Angra do Heroísmo; 3,0;  0,21; 148,0; 79,5; 29,2; 44,0; 93,1; 100,0;x;x;x;x;x;;2004301;;;;x
Vila da Praia da Vitória; 12,8;  0,18; 137,3; 71,8; 27,7; 40,5; 94,5; 45,8;x;x;x;x;x;;2004302;;;;x
  Graciosa; 0,0;  0,24; 153,5; 74,6; 35,3; 46,3; 96,3; 150,0;x;x;x;x;x;;-;;;;
Santa Cruz da Graciosa; 0,0;  0,24; 153,5; 74,6; 35,3; 46,3; 96,3; 150,0;x;x;x;x;x;;2004401;;;;x
  São Jorge; 5,6;  0,32; 183,0; 66,8; 34,3; 49,1; 97,3; 107,7;x;x;x;x;x;;-;;;;
Calheta (R.A.A.); 0,0;  0,20; 200,7; 66,3; 38,4; 50,8; 97,4; 75,0;x;x;x;x;x;;2004501;;;;x
Velas; 8,3;  0,41; 170,7; 67,1; 31,5; 47,7; 97,3; 122,2;x;x;x;x;x;;2004502;;;;x
  Pico; 8,0;  0,31; 169,2; 67,1; 34,1; 47,5; 94,3; 168,8;x;x;x;x;x;;-;;;;
Lajes do Pico; 15,8;  0,18; 206,4; 61,6; 40,1; 48,7; 94,8; 166,7;x;x;x;x;x;;2004601;;;;x
Madalena; 5,0;  0,33; 147,7; 76,4; 30,9; 47,5; 94,0; 110,0;x;x;x;x;x;;2004602;;;;x
São Roque do Pico; 0,0;  0,43; 166,7; 58,2; 32,8; 45,5; 94,5; 366,7;x;x;x;x;x;;2004603;;;;x
  Faial; 7,8;  0,53; 152,4; 75,2; 30,4; 42,7; 94,2; 153,3;x;x;x;x;x;;-;;;;
Horta; 7,8;  0,53; 152,4; 75,2; 30,4; 42,7; 94,2; 153,3;x;x;x;x;x;;2004701;;;;x
  Flores; 33,3;  0,38; 161,1; 69,0; 29,5; 46,4; 101,9; 160,0;x;x;x;x;x;;-;;;;
Lajes das Flores; 50,0;  0,71; 184,6; 69,7; 30,0; 46,2; 106,6; 233,3;x;x;x;x;x;;2004801;;;;x
Santa Cruz das Flores; 0,0;  0,15; 147,6; 68,4; 29,2; 46,5; 98,7; 50,0;x;x;x;x;x;;2004802;;;;x
  Corvo; 0,0;  0,51; 116,7; 84,0; 22,3; 39,7; 113,4; 0,0;x;x;x;x;x;;-;;;;
Corvo; 0,0;  0,51; 116,7; 84,0; 22,3; 39,7; 113,4; 0,0;x;x;x;x;x;;2004901;;;;x
 R. A. Madeira; 12,2;  0,66; 161,3; 68,4; 30,1; 45,1; 88,4; 117,4; 30,3; 32,7; 34,7;  78,55;  17,76;;300;x;x;x;
Calheta (R.A.M.); 26,3;  1,37; 221,2; 59,3; 40,6; 50,3; 84,9; 130,8;x;x;x;x;x;;3003101;;;;x
Câmara de Lobos; 6,3;  0,17; 103,6; 93,4; 21,9; 41,6; 91,5; 111,5;x;x;x;x;x;;3003102;;;;x
Funchal; 6,9;  0,82; 185,9; 62,5; 33,1; 44,9; 86,7; 128,7;x;x;x;x;x;;3003103;;;;x
Machico; 16,3;  0,40; 189,4; 63,9; 30,9; 43,9; 93,3; 113,5;x;x;x;x;x;;3003104;;;;x
Ponta do Sol; 17,8;  0,95; 180,7; 76,8; 32,8; 49,5; 85,8; 105,1;x;x;x;x;x;;3003105;;;;x
Porto Moniz; 15,8;  0,36; 327,4; 54,8; 49,1; 49,4; 79,2; 50,0;x;x;x;x;x;;3003106;;;;x
Ribeira Brava; 10,4;  0,49; 168,8; 75,3; 31,5; 48,2; 83,5; 106,7;x;x;x;x;x;;3003107;;;;x
Santa Cruz; 14,3;  0,52; 100,2; 75,7; 21,0; 42,2; 91,7; 97,3;x;x;x;x;x;;3003108;;;;x
Santana; 15,8;  0,21; 300,3; 51,8; 47,4; 51,9; 83,3; 100,0;x;x;x;x;x;;3003109;;;;x
São Vicente; 42,9;  0,76; 264,8; 55,6; 43,7; 47,6; 85,6; 105,6;x;x;x;x;x;;3003110;;;;x
Porto Santo; 7,4;  1,72; 172,9; 55,8; 27,1; 40,2; 96,9; 93,5;x;x;x;x;x;;3003201;;;;x
;Proportion of marriages between Portuguese and foreigners;Foreign population who has been granted a resident title per 100 inhabitants;Ageing ratio;Renewal index of the population in active age;Old-age dependency ratio;Oldest-age ratio;Sex ratio;Sex ratio of foreign population who has been granted a resident title ; Mean age of women at birth of first child;Mean age of women at first marriage;Mean age of men at first marriage;Life expectancy at birth of resident population;Life expectancy at 65 years old of resident population;;;;;;
;%;No.;;;;;;;years;;;;;;;;;;
;2021;;;;;;;;;;;2019-2021;;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;;;;;
"Fonte: INE, I.P., Indicadores Demográficos, Estimativas Anuais da População Residente; Tábuas completas de mortalidade; População estrangeira que solicitou estatuto de residente. ";;;;;;;;;;;;;;;;;;;
"Source: Statistics Portugal, Demographic Indicators, Annual Estimates of Resident Population; Complete life tables; Foreign population which requested resident status.";;;;;;;;;;;;;;;;;;;
"Nota: Não se apresentam os dados para a proporção de casamentos entre portugueses/as e estrangeiros/as para o município de Odivelas devido à inexistência de Conservatória de Registo Civil neste município. 
Os dados da população residente, utilizados no cálculo dos indicadores para 2021, resultam de um exercício ad hoc de estimativas de população residente para 31 de dezembro de 2021, calculadas com base nos resultados provisórios dos Censos 2021. Assim, os resultados dos indicadores para 2021 serão revistos na sequência da divulgação da nova série de estimativas de população pós-Censos 2021.";;;;;;;;;;;;;;;;;;;
"Note: The proportion of marriages between Portuguese and foreigners for Odivelas is not available due to the non-existence of Civil Register Offices in that municipality.                                                                                                                                                                                                
The resident population data, used in the calculation of the 2021 indicators are a result from an ad hoc exercise of resident population estimates for December 31, 2021, based on the provisional results of the 2021 Census. Thus, the results of the 2021 indicators will be revised following the release of the new series of post-2021 Census population estimates.";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0010245;;http://www.ine.pt/xurl/ind/0008220;;;http://www.ine.pt/xurl/ind/0008459;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008628;;http://www.ine.pt/xurl/ind/0008221;;;http://www.ine.pt/xurl/ind/0008460;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0009209;;;;;;;;;;;;;;;;;;;
