;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
";Esperança de vida aos 65 anos;;;;;;
;%;N.º;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2021;;;;;;;;;;;2019-2021;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Póvoa de Varzim; 9,1;  0,76; 159,7; 81,2; 31,7; 44,0; 89,1; 104,2;x;x;x;x;x;;11A1313;;;;x
Santa Maria da Feira; 5,3;  0,25; 171,8; 70,1; 32,3; 45,2; 93,2; 90,6;x;x;x;x;x;;11A0109;;;;x
Santo Tirso; 5,9;  0,14; 233,1; 67,4; 39,1; 45,0; 91,0; 77,4;x;x;x;x;x;;11A1314;;;;x
São João da Madeira; 10,7;  1,01; 185,8; 70,2; 34,0; 46,2; 88,4; 105,5;x;x;x;x;x;;11A0116;;;;x
Trofa; 1,5;  0,44; 163,0; 78,3; 30,3; 42,8; 92,2; 194,8;x;x;x;x;x;;11A1318;;;;x
Vale de Cambra; 6,2;  0,49; 270,1; 64,7; 47,0; 49,0; 93,4; 108,0;x;x;x;x;x;;11A0119;;;;x
Valongo; 9,3;  0,31; 148,4; 78,7; 29,6; 43,3; 90,4; 87,2;x;x;x;x;x;;11A1315;;;;x
Vila do Conde; 6,1;  0,59; 152,2; 73,0; 31,3; 44,9; 92,2; 157,0;x;x;x;x;x;;11A1316;;;;x
Vila Nova de Gaia; 14,3;  0,57; 171,5; 72,5; 33,3; 44,4; 90,2; 97,0;x;x;x;x;x;;11A1317;;;;x
   Alto Tâmega; 16,3;  0,25; 389,8; 47,9; 63,5; 52,1; 91,1; 109,9; 30,1; 32,0; 34,8;  79,61;  19,66;;11B;;;x;
Boticas; 7,7;  0,14; 437,7; 38,8; 70,0; 54,0; 91,6; 133,3;x;x;x;x;x;;11B1702;;;;x
Chaves; 25,0;  0,32; 330,0; 51,8; 56,4; 51,0; 90,6; 88,9;x;x;x;x;x;;11B1703;;;;x
Montalegre; 3,8;  0,15; 540,3; 41,7; 75,7; 55,1; 93,6; 100,0;x;x;x;x;x;;11B1706;;;;x
Ribeira de Pena; 10,0;  0,36; 308,6; 49,1; 54,6; 52,4; 97,3; 425,0;x;x;x;x;x;;11B1709;;;;x
Valpaços; 6,1;  0,18; 498,9; 43,8; 79,3; 53,0; 88,5; 44,4;x;x;x;x;x;;11B1712;;;;x
Vila Pouca de Aguiar; 8,0;  0,21; 408,1; 49,2; 61,8; 50,2; 90,7; 316,7;x;x;x;x;x;;11B1713;;;;x
   Tâmega e Sousa; 4,3;  0,19; 155,4; 79,6; 28,6; 44,8; 93,3; 161,4; 29,9; 30,1; 31,3;  80,40;  19,05;;11C;;;x;
Amarante; 4,2;  0,19; 194,9; 70,1; 34,6; 45,2; 90,6; 188,2;x;x;x;x;x;;11C1301;;;;x
Baião; 5,7;  0,17; 213,5; 64,1; 35,3; 49,0; 90,8; 200,0;x;x;x;x;x;;11C1302;;;;x
Castelo de Paiva; 1,8;  0,23; 185,4; 74,8; 31,5; 45,8; 94,0; 250,0;x;x;x;x;x;;11C0106;;;;x
Celorico de Basto; 1,6;  0,08; 208,2; 69,1; 37,9; 50,8; 91,7; 66,7;x;x;x;x;x;;11C0305;;;;x
Cinfães; 5,7;  0,23; 229,3; 63,3; 41,1; 50,5; 94,6; 925,0;x;x;x;x;x;;11C1804;;;;x
Felgueiras; 6,9;  0,18; 148,3; 82,6; 26,7; 43,3; 93,5; 128,9;x;x;x;x;x;;11C1303;;;;x
Lousada; 1,5;  0,29; 115,4; 90,1; 22,4; 41,5; 93,6; 286,1;x;x;x;x;x;;11C1305;;;;x
Marco de Canaveses; 5,2;  0,20; 146,7; 83,5; 27,1; 44,0; 92,3; 120,0;x;x;x;x;x;;11C1307;;;;x
Paços de Ferreira; 4,3;  0,15; 125,6; 89,2; 23,6; 42,5; 97,4; 104,9;x;x;x;x;x;;11C1309;;;;x
Penafiel; 3,8;  0,16; 137,1; 82,2; 26,5; 43,1; 92,7; 109,6;x;x;x;x;x;;11C1311;;;;x
Resende; 8,1;  0,05; 239,4; 65,1; 41,0; 51,1; 95,1; 25,0;x;x;x;x;x;;11C1813;;;;x
   Douro; 4,9;  0,21; 281,1; 57,6; 47,8; 50,5; 90,7; 124,4; 30,4; 32,0; 32,8;  80,25;  19,60;;11D;;;x;
Alijó; 7,7;  0,10; 363,7; 48,5; 57,5; 52,3; 95,0; 42,9;x;x;x;x;x;;11D1701;;;;x
Armamar; 0,0;  0,37; 324,7; 53,0; 51,3; 55,6; 89,2; 250,0;x;x;x;x;x;;11D1801;;;;x
Carrazeda de Ansiães; 0,0;  0,36; 436,0; 48,5; 70,2; 51,8; 92,2; 81,8;x;x;x;x;x;;11D0403;;;;x
Freixo de Espada à Cinta; 25,0;  0,16; 369,1; 55,3; 69,8; 59,7; 90,7; 25,0;x;x;x;x;x;;11D0404;;;;x
Lamego; 5,4;  0,08; 257,1; 56,4; 41,8; 49,4; 89,8; 900,0;x;x;x;x;x;;11D1805;;;;x
Mesão Frio; 4,5;  0,11; 330,6; 57,8; 48,3; 47,3; 88,0; 100,0;x;x;x;x;x;;11D1704;;;;x
Moimenta da Beira; 0,0;  0,24; 263,2; 59,4; 50,4; 52,9; 91,4; 109,1;x;x;x;x;x;;11D1807;;;;x
Murça; 6,3;  0,08; 439,9; 47,5; 64,8; 51,1; 93,6; 0,0;x;x;x;x;x;;11D1707;;;;x
Penedono; 0,0;  0,00; 422,0; 58,3; 60,4; 55,9; 90,2; 0,0;x;x;x;x;x;;11D1812;;;;x
Peso da Régua; 7,1;  0,03; 258,2; 58,3; 42,8; 46,1; 88,7; 150,0;x;x;x;x;x;;11D1708;;;;x
Sabrosa; 0,0;  0,07; 355,4; 55,4; 58,0; 50,3; 91,7; 100,0;x;x;x;x;x;;11D1710;;;;x
Santa Marta de Penaguião; 0,0;  0,05; 362,7; 54,7; 54,8; 47,9; 90,4; 200,0;x;x;x;x;x;;11D1711;;;;x
São João da Pesqueira; 0,0;  0,18; 272,2; 56,1; 45,6; 50,8; 96,4; 100,0;x;x;x;x;x;;11D1815;;;;x
Sernancelhe; 5,3;  0,23; 349,8; 53,2; 54,3; 53,5; 93,4; 225,0;x;x;x;x;x;;11D1818;;;;x
Tabuaço; 0,0;  0,22; 356,8; 55,1; 54,2; 50,1; 89,8; 175,0;x;x;x;x;x;;11D1819;;;;x
Tarouca; 0,0;  0,09; 202,3; 63,2; 38,9; 48,2; 92,6; 40,0;x;x;x;x;x;;11D1820;;;;x
Torre de Moncorvo; 20,0;  0,10; 511,8; 47,1; 79,5; 55,5; 89,6; 75,0;x;x;x;x;x;;11D0409;;;;x
Vila Nova de Foz Côa; 13,3;  0,16; 424,7; 51,7; 64,9; 53,0; 90,7; 233,3;x;x;x;x;x;;11D0914;;;;x
Vila Real; 4,8;  0,44; 199,4; 65,8; 37,0; 48,3; 89,4; 120,4;x;x;x;x;x;;11D1714;;;;x
   Terras de Trás-os-Montes; 8,3;  0,96; 361,9; 59,7; 60,0; 53,0; 92,0; 92,9; 30,3; 33,1; 35,0;  80,68;  19,67;;11E;;;x;
Alfândega da Fé; 0,0;  0,37; 463,3; 48,0; 69,3; 54,7; 93,7; 300,0;x;x;x;x;x;;11E0401;;;;x
Bragança; 13,4;  2,16; 262,8; 79,3; 46,6; 50,6; 91,6; 95,0;x;x;x;x;x;;11E0402;;;;x
Macedo de Cavaleiros; 0,0;  0,32; 386,3; 53,6; 62,2; 51,8; 90,3; 109,1;x;x;x;x;x;;11E0405;;;;x
Miranda do Douro; 12,5;  0,32; 459,5; 50,4; 74,6; 56,3; 93,9; 23,5;x;x;x;x;x;;11E0406;;;;x
Mirandela; 7,7;  0,68; 322,0; 60,8; 56,2; 52,3; 89,4; 68,6;x;x;x;x;x;;11E0407;;;;x
Mogadouro; 0,0;  0,23; 472,5; 43,0; 70,8; 56,0; 94,2; 171,4;x;x;x;x;x;;11E0408;;;;x
Vila Flor; 0,0;  0,10; 409,9; 54,3; 64,4; 52,6; 93,8; 100,0;x;x;x;x;x;;11E0410;;;;x
Vimioso; 33,3;  0,60; 594,7; 44,5; 89,5; 54,0; 95,0; 127,3;x;x;x;x;x;;11E0411;;;;x
Vinhais; 0,0;  0,12; 698,2; 35,5; 91,6; 56,9; 96,5; 200,0;x;x;x;x;x;;11E0412;;;;x
  Centro; 9,4;  0,72; 230,8; 68,1; 44,4; 51,3; 90,9; 108,1; 30,5; 32,5; 34,0;  80,98;  19,43;;16;;x;;
   Oeste; 10,9;  1,07; 186,4; 74,7; 38,8; 49,5; 92,7; 119,7; 30,0; 33,0; 34,4;  80,24;  18,93;;16B;;;x;
Alcobaça; 12,8;  0,86; 224,7; 70,6; 41,8; 49,4; 92,9; 110,7;x;x;x;x;x;;16B1001;;;;x
Alenquer; 6,3;  1,15; 134,7; 85,1; 31,1; 48,8; 94,4; 98,5;x;x;x;x;x;;16B1101;;;;x
Arruda dos Vinhos; 13,6;  0,87; 117,9; 83,7; 29,5; 49,8; 95,2; 85,1;x;x;x;x;x;;16B1102;;;;x
Bombarral; 24,0;  0,75; 220,4; 70,2; 45,5; 47,3; 91,9; 134,1;x;x;x;x;x;;16B1005;;;;x
