;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continua);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (to be continued);;;;;;;;;;;;;;;;;;;;
;"Densidade populacional 
?";Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Castanheira de Pêra;  39,6;- 1,35;- 1,76; 0,41;  3,8;  21,4;  1,5;  1,5;  26,0;x;x; 27,2; 70,0; 0,0;;16F1007;;;;x
Figueiró dos Vinhos;  30,5;- 0,81;- 1,72; 0,90;  4,5;  21,7;  1,9;  0,9;  29,0;x;x; 29,9; 70,8; 30,0;;16F1008;;;;x
Leiria;  228,9; 0,38;- 0,22; 0,60;  7,7;  9,8;  2,3;  1,6;  35,1;x;x; 41,9; 57,3; 33,2;;16F1009;;;;x
Marinha Grande;  209,4; 0,29;- 0,41; 0,70;  6,7;  10,9;  2,0;  1,6;  31,4;x;x; 41,3; 63,6; 13,0;;16F1010;;;;x
Pedrógão Grande;  26,5;- 0,29;- 1,61; 1,32;  5,3;  21,4;  3,5;  0,6;  33,6;x;x; 30,0; 66,7; 50,0;;16F1013;;;;x
Pombal;  81,8;- 0,31;- 0,84; 0,53;  7,1;  15,5;  2,8;  1,3;  36,7;x;x; 36,9; 57,9; 31,9;;16F1015;;;;x
Porto de Mós;  88,8;- 0,05;- 0,52; 0,47;  7,6;  12,8;  1,4;  1,5;  37,5;x;x; 39,2; 64,4; 36,4;;16F1016;;;;x
   Viseu Dão Lafões;  78,2;- 0,21;- 0,83; 0,62;  6,2;  14,5;  2,8;  1,6;  31,5;  4,5;  1,22; 37,5; 55,7; 40,5;;16G;;;x;
Aguiar da Beira;  25,2;- 1,43;- 2,38; 0,95;  5,7;  29,5;  3,4;  1,0;  36,7;x;x; 29,9; 50,0; 55,6;;16G0901;;;;x
Carregal do Sal;  77,5;- 0,06;- 0,86; 0,81;  5,8;  14,5;  2,0;  1,4;  31,8;x;x; 34,8; 62,3; 27,8;;16G1802;;;;x
Castro Daire;  36,2;- 0,56;- 1,08; 0,52;  4,9;  15,6;  3,1;  1,4;  27,7;x;x; 33,6; 41,8; 51,2;;16G1803;;;;x
Mangualde;  83,4;- 0,52;- 1,03; 0,51;  5,4;  15,7;  4,4;  1,4;  28,7;x;x; 36,2; 56,6; 41,8;;16G1806;;;;x
Nelas;  104,3;- 0,50;- 0,93; 0,43;  4,9;  14,2;  3,3;  1,3;  26,6;x;x; 35,1; 60,0; 34,1;;16G1809;;;;x
Oliveira de Frades;  65,7; 0,15;- 0,60; 0,74;  6,3;  12,3;  3,6;  1,6;  30,5;x;x; 39,6; 65,0; 38,2;;16G1810;;;;x
Penalva do Castelo;  54,5;- 1,09;- 1,59; 0,50;  3,4;  19,3;  2,7;  1,0;  20,0;x;x; 32,9; 52,0; 65,0;;16G1811;;;;x
Santa Comba Dão;  95,0;- 0,55;- 1,04; 0,49;  6,9;  17,3;  2,4;  2,2;  38,0;x;x; 34,6; 55,4; 42,3;;16G1814;;;;x
São Pedro do Sul;  43,3;- 0,63;- 1,15; 0,51;  4,4;  15,9;  2,2;  1,8;  25,0;x;x; 33,6; 50,7; 15,6;;16G1816;;;;x
Sátão;  54,8;- 0,18;- 0,99; 0,81;  6,0;  15,9;  2,6;  0,8;  31,9;x;x; 35,3; 53,0; 37,9;;16G1817;;;;x
Tondela;  69,8;- 0,64;- 1,17; 0,53;  6,0;  17,6;  2,3;  1,3;  32,7;x;x; 34,6; 61,9; 31,7;;16G1821;;;;x
Vila Nova de Paiva;  26,5;- 0,73;- 1,54; 0,81;  5,1;  20,5;  3,2;  1,7;  29,1;x;x; 34,0; 45,8; 26,7;;16G1822;;;;x
Viseu;  197,3; 0,26;- 0,41; 0,67;  7,3;  11,4;  2,6;  1,9;  33,1;x;x; 41,5; 55,7; 43,7;;16G1823;;;;x
Vouzela;  49,5;- 0,29;- 0,86; 0,57;  6,5;  15,1;  2,5;  1,6;  34,5;x;x; 35,5; 50,0; 41,7;;16G1824;;;;x
   Beira Baixa;  17,5;- 0,55;- 1,20; 0,65;  5,9;  18,0;  2,3;  1,3;  34,4;  6,3;  1,34; 32,9; 66,7; 35,3;;16H;;;x;
Castelo Branco;  36,4;- 0,33;- 0,85; 0,52;  6,8;  15,2;  2,7;  1,6;  35,0;x;x; 36,7; 63,7; 34,3;;16H0502;;;;x
Idanha-a-Nova;  5,9;- 1,40;- 2,10; 0,70;  5,1;  26,1;  1,3;  1,1;  37,2;x;x; 26,4; 76,7; 18,2;;16H0505;;;;x
Oleiros;  10,5;- 0,18;- 1,30; 1,12;  4,1;  17,0;  2,4;  1,0;  32,2;x;x; 24,3; 75,0; 25,0;;16H0506;;;;x
Penamacor;  8,4;- 1,34;- 2,22; 0,88;  2,1;  24,3;  1,0;  0,4;  17,8;x;x; 23,4; 80,0; 80,0;;16H0507;;;;x
Proença-a-Nova;  18,0;- 1,12;- 1,85; 0,74;  4,9;  23,4;  2,0;  0,6;  34,5;x;x; 27,8; 65,7; 50,0;;16H0508;;;;x
Vila Velha de Ródão;  10,0;- 0,18;- 1,57; 1,39;  5,1;  20,9;  0,6;  0,6;  38,9;x;x; 25,8; 88,2; 50,0;;16H0511;;;;x
   Médio Tejo;  68,6;- 0,16;- 1,00; 0,84;  5,9;  15,9;  2,5;  1,7;  31,9;  4,3;  1,26; 35,4; 61,9; 36,0;;16I;;;x;
Abrantes;  47,9;- 0,90;- 1,31; 0,41;  4,8;  17,9;  2,1;  1,5;  27,9;x;x; 33,2; 69,9; 33,8;;16I1401;;;;x
Alcanena;  98,1;- 0,50;- 1,21; 0,71;  5,6;  17,7;  1,3;  1,4;  30,4;x;x; 35,5; 64,3; 43,8;;16I1402;;;;x
Constância;  47,7; 0,55;- 0,79; 1,33;  5,8;  13,6;  9,4;  1,3;  28,7;x;x; 38,7; 63,6; 22,2;;16I1408;;;;x
Entroncamento; 1 491,5; 1,45;- 0,32; 1,77;  7,4;  10,6;  1,5;  1,7;  33,7;x;x; 41,3; 62,7; 16,7;;16I1410;;;;x
Ferreira do Zêzere;  41,0;- 0,49;- 1,44; 0,96;  6,1;  20,6;  3,2;  1,1;  35,4;x;x; 33,0; 45,8; 24,0;;16I1411;;;;x
Mação;  15,9;- 1,25;- 2,06; 0,81;  4,4;  24,9;  1,4;  1,1;  32,7;x;x; 25,9; 71,4; 44,4;;16I1413;;;;x
Ourém;  107,3; 0,08;- 0,67; 0,76;  7,3;  14,0;  3,6;  1,7;  36,4;x;x; 37,7; 52,1; 43,7;;16I1421;;;;x
Sardoal;  38,3; 0,03;- 1,13; 1,16;  5,1;  16,4;  2,5;  2,2;  30,0;x;x; 32,8; 83,3; 44,4;;16I1417;;;;x
Sertã;  33,0;- 0,48;- 1,00; 0,52;  5,3;  15,3;  2,5;  1,4;  30,2;x;x; 33,8; 57,7; 10,8;;16I0509;;;;x
Tomar;  103,7;- 0,46;- 1,11; 0,65;  5,7;  16,8;  2,4;  2,0;  32,0;x;x; 33,7; 68,9; 37,9;;16I1418;;;;x
Torres Novas;  126,7;- 0,19;- 1,03; 0,84;  5,1;  15,4;  1,4;  2,0;  27,0;x;x; 36,1; 69,5; 51,0;;16I1419;;;;x
Vila de Rei;  17,3; 0,39;- 1,69; 2,08;  7,6;  24,5;  2,7;  0,6;  49,8;x;x; 29,0; 48,0; 44,4;;16I0510;;;;x
Vila Nova da Barquinha;  143,6; 0,99;- 0,73; 1,72;  6,6;  14,0;  6,2;  0,7;  33,9;x;x; 37,2; 53,2; 36,4;;16I1420;;;;x
   Beiras e Serra da Estrela;  33,4;- 0,66;- 1,21; 0,55;  5,4;  17,5;  2,0;  1,4;  31,4;  6,2;  1,22; 32,9; 60,0; 38,4;;16J;;;x;
Almeida;  11,3;- 1,66;- 2,58; 0,92;  2,0;  27,8;  1,9;  0,9;  15,9;x;x; 24,2; 66,7; 54,5;;16J0902;;;;x
Belmonte;  52,3;- 0,23;- 0,96; 0,74;  5,0;  14,6;  1,6;  1,4;  29,0;x;x; 32,8; 77,4; 60,0;;16J0501;;;;x
Celorico da Beira;  26,6;- 0,77;- 1,52; 0,74;  4,4;  19,6;  3,0;  2,1;  26,6;x;x; 31,8; 65,5; 10,0;;16J0903;;;;x
Covilhã;  83,5;- 0,56;- 0,91; 0,36;  5,6;  14,7;  1,7;  2,0;  30,0;x;x; 35,4; 66,9; 25,0;;16J0503;;;;x
Figueira de Castelo Rodrigo;  10,1;- 1,02;- 1,99; 0,97;  6,4;  26,3;  1,0;  1,7;  42,4;x;x; 29,1; 57,6; 20,0;;16J0904;;;;x
Fornos de Algodres;  33,5;- 1,18;- 2,19; 1,02;  4,1;  26,0;  1,6;  0,2;  25,0;x;x; 30,9; 77,8; 42,9;;16J0905;;;;x
Fundão;  37,8;- 0,54;- 1,02; 0,48;  6,1;  16,3;  2,3;  1,1;  35,7;x;x; 33,0; 53,1; 47,5;;16J0504;;;;x
Gouveia;  40,6;- 0,68;- 1,48; 0,80;  4,0;  18,8;  2,0;  1,0;  26,5;x;x; 28,7; 69,4; 20,0;;16J0906;;;;x
Guarda;  56,3;- 0,36;- 0,71; 0,35;  6,7;  13,8;  2,6;  1,7;  33,1;x;x; 38,3; 51,1; 53,4;;16J0907;;;;x
Manteigas;  23,8;- 1,23;- 1,61; 0,38;  6,5;  22,6;  1,7;  2,4;  41,9;x;x; 29,2; 57,9; 20,0;;16J0908;;;;x
Mêda;  16,2;- 0,84;- 1,63; 0,79;  3,0;  19,3;  2,6;  1,1;  19,8;x;x; 28,9; 78,6; 54,5;;16J0909;;;;x
Pinhel;  16,6;- 1,37;- 1,87; 0,49;  3,2;  21,9;  1,9;  1,6;  21,5;x;x; 28,7; 53,8; 33,3;;16J0910;;;;x
Sabugal;  13,7;- 0,92;- 1,94; 1,03;  4,2;  23,7;  0,9;  0,6;  32,8;x;x; 24,8; 66,7; 60,0;;16J0911;;;;x
Seia;  49,8;- 0,72;- 1,28; 0,56;  5,7;  18,5;  2,0;  1,0;  34,4;x;x; 31,6; 63,2; 25,0;;16J0912;;;;x
Trancoso;  23,3;- 0,43;- 1,22; 0,79;  5,7;  17,9;  1,3;  0,5;  35,3;x;x; 30,8; 47,9; 36,4;;16J0913;;;;x
  A. M. Lisboa;  951,7;- 0,28;- 0,23;- 0,05;  9,3;  11,6;  2,4;  1,6;  40,7;  6,8;  1,49; 42,9; 62,8; 14,4;;170;;x;x;
Alcochete;  150,4; 0,71;- 0,07; 0,78;  7,9;  8,6;  4,2;  2,3;  33,5;x;x; 45,3; 62,5; 19,5;;1701502;;;;x
Almada; 2 521,1;- 0,72;- 0,37;- 0,35;  8,8;  12,5;  1,2;  1,6;  40,3;x;x; 40,9; 64,4; 10,1;;1701503;;;;x
Amadora; 7 253,9; 0,38;- 0,11; 0,49;  10,0;  11,1;  0,6;  1,6;  43,2;x;x; 43,0; 66,6; 24,5;;1701115;;;;x
Barreiro; 2 138,5;- 1,02;- 0,55;- 0,48;  8,3;  13,7;  2,6;  1,7;  38,2;x;x; 40,5; 68,9; 11,4;;1701504;;;;x
Cascais; 2 195,2;- 0,41;- 0,33;- 0,08;  8,0;  11,2;  2,6;  1,8;  36,6;x;x; 40,5; 59,8; 18,8;;1701105;;;;x
Lisboa; 5 438,0;- 0,63;- 0,42;- 0,21;  9,9;  14,1;  4,1;  1,4;  43,6;x;x; 42,3; 53,4; 17,2;;1701106;;;;x
Loures; 1 211,6; 0,26;- 0,13; 0,40;  10,2;  11,5;  1,7;  1,4;  44,8;x;x; 42,8; 65,1; 22,0;;1701107;;;;x
Mafra;  297,6; 0,19;- 0,05; 0,24;  8,6;  9,1;  3,2;  1,8;  36,1;x;x; 45,9; 61,7; 27,3;;1701109;;;;x
Moita; 1 193,5;- 0,78;- 0,27;- 0,51;  10,2;  12,9;  2,0;  1,9;  45,9;x;x; 42,0; 75,7; 11,5;;1701506;;;;x
Montijo;  160,8; 0,48;- 0,13; 0,61;  10,2;  11,5;  2,4;  1,6;  43,2;x;x; 45,7; 63,8; 12,3;;1701507;;;;x
Odivelas; 5 619,1; 0,52; 0,04; 0,48;  11,1;  10,6;  0,0;  1,5;  47,2;x;x; 44,1; 57,4;x;;1701116;;;;x
Oeiras; 3 750,7;- 0,05;- 0,26; 0,21;  8,3;  10,9;  2,4;  1,4;  37,8;x;x; 40,8; 58,2; 6,2;;1701110;;;;x
Palmela;  147,5;- 0,70;- 0,46;- 0,24;  8,4;  13,0;  2,6;  1,9;  37,9;x;x; 42,6; 66,7; 16,1;;1701508;;;;x
Seixal; 1 744,0;- 0,26;- 0,17;- 0,09;  8,8;  10,5;  1,6;  1,9;  38,3;x;x; 43,1; 66,9; 10,7;;1701510;;;;x
Sesimbra;  267,9;- 0,16;- 0,26; 0,10;  8,2;  10,7;  5,9;  1,7;  36,1;x;x; 43,7; 66,7; 6,0;;1701511;;;;x
Setúbal;  531,0;- 1,38;- 0,57;- 0,82;  8,0;  13,6;  3,7;  2,0;  36,6;x;x; 41,2; 68,8; 3,8;;1701512;;;;x
Sintra; 1 208,5;- 0,09; 0,06;- 0,15;  9,6;  9,1;  1,9;  1,7;  40,0;x;x; 45,2; 69,8; 10,2;;1701111;;;;x
Vila Franca de Xira;  431,5;- 0,36;- 0,09;- 0,27;  8,9;  9,8;  1,4;  1,7;  37,3;x;x; 45,4; 65,6; 18,0;;1701114;;;;x
  Alentejo;  22,3;- 0,36;- 0,92; 0,56;  7,4;  16,6;  2,7;  1,4;  38,7;  11,7;  1,53; 37,1; 71,1; 25,3;;18;;x;;
   Alentejo Litoral;  18,3; 0,01;- 0,76; 0,77;  7,8;  15,3;  2,3;  1,0;  41,7;  10,1;  1,57; 37,9; 65,6; 11,1;;181;;;x;
Alcácer do Sal;  7,4;- 1,22;- 1,63; 0,41;  5,7;  22,0;  2,1;  0,5;  32,5;x;x; 34,4; 64,1; 22,7;;1811501;;;;x
Grândola;  16,8; 0,22;- 1,01; 1,24;  7,8;  17,9;  3,2;  1,3;  42,1;x;x; 37,6; 70,4; 15,9;;1811505;;;;x
Odemira;  17,3; 0,30;- 0,37; 0,67;  9,1;  12,8;  1,0;  0,7;  50,0;x;x; 40,5; 55,4; 10,0;;1810211;;;;x
Santiago do Cacém;  26,3;- 0,16;- 0,89; 0,72;  6,6;  15,4;  2,2;  1,2;  35,7;x;x; 35,7; 70,5; 9,8;;1811509;;;;x
Sines;  70,4; 0,50;- 0,36; 0,86;  9,0;  12,6;  4,3;  1,4;  42,7;x;x; 40,5; 76,6; 5,0;;1811513;;;;x
   Baixo Alentejo;  13,5;- 0,46;- 1,05; 0,59;  8,4;  18,9;  2,4;  1,3;  46,2;  28,4;  1,81; 35,9; 76,1; 17,6;;184;;;x;
Aljustrel;  19,3;- 0,78;- 0,97; 0,19;  8,1;  17,8;  1,0;  0,9;  46,9;x;x; 34,1; 72,2; 11,1;;1840201;;;;x
Almodôvar;  8,6;- 0,18;- 0,94; 0,76;  8,5;  17,8;  1,6;  0,9;  50,0;x;x; 33,7; 80,7; 36,4;;1840202;;;;x
Alvito;  8,6;- 0,26;- 1,75; 1,49;  8,7;  26,2;  5,2;  2,1;  45,5;x;x; 37,5; 65,0; 33,3;;1840203;;;;x
Barrancos;  8,5;- 1,18;- 1,60; 0,42;  8,3;  24,3;  2,8;  1,3;  48,3;x;x; 33,6; 83,3; 25,0;;1840204;;;;x
Beja;  29,2;- 0,19;- 0,72; 0,53;  9,3;  16,5;  2,8;  1,4;  46,3;x;x; 39,1; 71,0; 17,4;;1840205;;;;x
Castro Verde;  12,1; 0,00;- 0,90; 0,90;  6,8;  15,8;  2,0;  1,0;  36,2;x;x; 36,5; 76,6; 0,0;;1840206;;;;x
Cuba;  25,4;- 0,80;- 1,71; 0,91;  8,2;  25,3;  1,1;  1,8;  43,4;x;x; 37,7; 91,7; 20,0;;1840207;;;;x
Ferreira do Alentejo;  11,9; 0,04;- 0,89; 0,93;  9,1;  18,0;  4,1;  2,3;  52,1;x;x; 35,5; 85,7; 3,2;;1840208;;;;x
Mértola;  4,8;- 1,40;- 1,75; 0,35;  6,7;  24,2;  3,4;  0,5;  47,7;x;x; 28,2; 78,6; 9,5;;1840209;;;;x
Moura;  13,9;- 0,38;- 0,74; 0,36;  9,8;  17,2;  2,3;  1,2;  53,2;x;x; 36,1; 77,9; 23,3;;1840210;;;;x
Ourique;  7,3;- 1,26;- 1,94; 0,68;  5,8;  25,2;  3,7;  1,5;  34,9;x;x; 32,7; 75,0; 16,7;;1840212;;;;x
Serpa;  12,4;- 0,80;- 1,31; 0,51;  7,3;  20,4;  1,7;  1,1;  42,7;x;x; 34,2; 77,2; 17,4;;1840213;;;;x
Vidigueira;  16,4;- 0,42;- 1,23; 0,81;  8,3;  20,6;  1,7;  1,3;  44,9;x;x; 35,9; 76,7; 55,6;;1840214;;;;x
   Lezíria do Tejo;  55,4;- 0,03;- 0,76; 0,73;  7,2;  14,8;  2,8;  1,7;  35,8;  5,7;  1,44; 38,4; 68,6; 26,1;;185;;;x;
Almeirim;  99,2;- 0,25;- 0,87; 0,61;  7,0;  15,7;  2,2;  1,8;  34,2;x;x; 39,2; 68,4; 16,7;;1851403;;;;x
Alpiarça;  73,1;- 0,47;- 1,13; 0,66;  6,0;  17,3;  3,4;  2,0;  32,5;x;x; 35,3; 78,6; 20,8;;1851404;;;;x
Azambuja;  82,6; 0,86;- 0,67; 1,53;  6,9;  13,6;  2,2;  1,4;  34,6;x;x; 40,2; 68,0; 33,3;;1851103;;;;x
Benavente;  57,7; 0,87;- 0,45; 1,32;  7,3;  11,8;  3,0;  1,8;  32,3;x;x; 43,7; 70,9; 8,1;;1851405;;;;x
Cartaxo;  147,1; 0,07;- 0,78; 0,86;  6,2;  14,1;  2,3;  1,8;  30,4;x;x; 39,3; 75,9; 19,6;;1851406;;;;x
Chamusca;  11,4;- 1,03;- 1,43; 0,40;  4,6;  18,8;  0,6;  0,9;  26,2;x;x; 33,6; 74,4; 75,0;;1851407;;;;x
Coruche;  15,5;- 1,08;- 1,23; 0,14;  7,3;  19,5;  1,1;  1,6;  43,3;x;x; 31,8; 66,7; 57,9;;1851409;;;;x
Golegã;  63,9;- 0,76;- 1,13; 0,37;  7,9;  19,2;  7,4;  1,7;  41,6;x;x; 36,2; 72,1; 33,3;;1851412;;;;x
Rio Maior;  77,3; 0,06;- 0,41; 0,47;  8,9;  13,0;  1,9;  1,9;  44,3;x;x; 39,1; 62,8; 17,5;;1851414;;;;x
Salvaterra de Magos;  88,9;- 0,14;- 0,77; 0,63;  7,7;  15,3;  3,5;  1,6;  39,5;x;x; 37,3; 69,9; 17,1;;1851415;;;;x
Santarém;  106,4;- 0,19;- 0,71; 0,53;  7,2;  14,3;  3,8;  1,9;  35,8;x;x; 37,9; 66,0; 35,6;;1851416;;;;x
   Alto Alentejo;  17,2;- 1,06;- 1,31; 0,26;  6,6;  19,7;  1,9;  1,4;  36,1;  8,3;  1,45; 34,7; 75,7; 32,0;;186;;;x;
Alter do Chão;  8,4;- 0,69;- 1,80; 1,11;  6,9;  24,8;  2,9;  1,6;  41,6;x;x; 31,2; 81,0; 22,2;;1861201;;;;x
Arronches;  8,9;- 1,18;- 1,99; 0,82;  5,3;  25,3;  2,1;  0,7;  32,5;x;x; 32,6; 66,7; 0,0;;1861202;;;;x
Avis;  6,3;- 0,47;- 1,49; 1,02;  7,3;  22,3;  2,1;  1,0;  41,4;x;x; 33,8; 89,3; 62,5;;1861203;;;;x
Campo Maior;  32,4;- 0,75;- 0,83; 0,09;  8,3;  16,7;  1,6;  1,3;  40,1;x;x; 40,3; 86,6; 30,8;;1861204;;;;x
Castelo de Vide;  11,7;- 1,69;- 2,05; 0,35;  5,4;  25,9;  1,6;  1,7;  33,8;x;x; 30,5; 64,7; 0,0;;1861205;;;;x
Crato;  8,0;- 2,36;- 2,73; 0,37;  3,1;  30,4;  2,5;  1,3;  21,5;x;x; 26,7; 60,0; 50,0;;1861206;;;;x
Elvas;  32,7;- 0,93;- 1,05; 0,12;  7,8;  18,3;  2,4;  1,6;  39,2;x;x; 37,9; 79,0; 34,0;;1861207;;;;x
Fronteira;  11,5;- 0,98;- 1,67; 0,70;  4,9;  21,6;  1,4;  1,0;  29,0;x;x; 32,1; 50,0; 25,0;;1861208;;;;x
Gavião;  11,4;- 2,04;- 2,22; 0,18;  4,1;  26,3;  3,0;  0,3;  30,3;x;x; 25,5; 57,1; 20,0;;1861209;;;;x
Marvão;  19,5;- 1,42;- 1,91; 0,49;  7,9;  27,0;  1,6;  2,7;  48,6;x;x; 31,4; 79,2; 60,0;;1861210;;;;x
Monforte;  7,1;- 0,77;- 1,10; 0,33;  6,0;  17,0;  2,0;  0,3;  30,2;x;x; 37,9; 72,2; 33,3;;1861211;;;;x
Nisa;  10,2;- 2,12;- 2,57; 0,45;  3,4;  29,1;  1,5;  1,4;  23,5;x;x; 27,3; 60,0; 55,6;;1861212;;;;x
Ponte de Sor;  18,1;- 0,97;- 1,14; 0,17;  5,7;  17,1;  1,3;  1,4;  32,0;x;x; 34,3; 83,9; 30,0;;1861213;;;;x
Portalegre;  49,8;- 0,74;- 0,78; 0,04;  6,9;  14,8;  1,9;  1,7;  35,9;x;x; 36,8; 63,2; 34,1;;1861214;;;;x
Sousel;  15,5;- 1,17;- 1,36; 0,18;  8,7;  22,3;  2,1;  1,8;  48,8;x;x; 33,3; 97,4; 0,0;;1861215;;;;x
   Alentejo Central;  20,6;- 0,57;- 0,91; 0,34;  7,4;  16,5;  3,3;  1,4;  38,0;  11,9;  1,50; 37,3; 71,6; 32,1;;187;;;x;
Alandroal;  9,1;- 1,36;- 1,40; 0,04;  6,4;  20,4;  3,4;  1,0;  38,6;x;x; 32,3; 78,1; 11,8;;1870701;;;;x
Arraiolos;  9,7;- 0,54;- 1,10; 0,56;  6,8;  17,8;  2,3;  1,5;  36,0;x;x; 36,8; 73,3; 53,3;;1870702;;;;x
Borba;  44,3;- 0,68;- 0,98; 0,29;  8,2;  18,0;  2,2;  1,5;  46,6;x;x; 34,3; 60,4; 71,4;;1870703;;;;x
Estremoz;  24,6;- 0,76;- 1,02; 0,26;  8,3;  18,5;  3,0;  1,1;  45,8;x;x; 34,7; 72,6; 37,8;;1870704;;;;x
Évora;  41,0;- 0,23;- 0,50; 0,27;  7,9;  13,0;  3,8;  1,7;  37,5;x;x; 40,2; 67,4; 32,5;;1870705;;;;x
Montemor-o-Novo;  12,8;- 0,90;- 1,32; 0,42;  6,7;  19,9;  2,7;  1,0;  35,7;x;x; 36,0; 63,2; 18,6;;1870706;;;;x
Mora;  9,2;- 2,24;- 2,58; 0,34;  2,9;  28,7;  3,6;  0,7;  19,6;x;x; 28,9; 83,3; 20,0;;1870707;;;;x
Mourão;  8,5;- 0,08;- 0,76; 0,67;  13,1;  20,7;  6,7;  1,2;  76,7;x;x; 34,7; 83,9; 25,0;;1870708;;;;x
Portel;  9,5;- 0,63;- 0,99; 0,36;  7,3;  17,2;  2,1;  0,3;  39,6;x;x; 36,1; 69,0; 33,3;;1870709;;;;x
Redondo;  17,0;- 0,70;- 0,89; 0,19;  7,6;  16,5;  3,0;  1,3;  40,2;x;x; 36,7; 81,3; 16,7;;1870710;;;;x
Reguengos de Monsaraz;  21,3;- 0,54;- 0,94; 0,40;  8,6;  18,0;  4,7;  1,2;  44,4;x;x; 37,4; 84,7; 28,9;;1870711;;;;x
Vendas Novas;  50,6;- 0,37;- 0,90; 0,53;  5,7;  14,7;  1,8;  1,0;  29,1;x;x; 37,4; 79,7; 20,0;;1870712;;;;x
Viana do Alentejo;  13,5;- 1,05;- 1,63; 0,58;  5,8;  22,1;  2,4;  2,1;  29,8;x;x; 37,2; 77,4; 38,5;;1870713;;;;x
Vila Viçosa;  37,8;- 0,58;- 0,80; 0,22;  6,5;  14,5;  4,2;  1,5;  34,8;x;x; 35,8; 75,0; 51,6;;1870714;;;;x
  Algarve;  93,2;- 0,60;- 0,37;- 0,23;  8,8;  12,5;  2,7;  1,7;  41,9;  7,7;  1,61; 40,6; 68,8; 11,6;;150;;x;x;
Albufeira;  315,0; 0,19; 0,15; 0,05;  10,2;  8,8;  4,3;  1,4;  44,5;x;x; 44,6; 62,9; 7,0;;1500801;;;;x
Alcoutim;  4,3;- 3,27;- 2,71;- 0,56;  2,8;  29,9;  8,0;  0,9;  23,2;x;x; 23,5; 85,7; 5,0;;1500802;;;;x
Aljezur;  18,6;- 0,81;- 0,84; 0,03;  7,6;  16,0;  2,1;  1,4;  39,8;x;x; 38,0; 80,4; 0,0;;1500803;;;;x
Castro Marim;  21,3;- 0,82;- 0,78;- 0,05;  7,1;  14,9;  6,7;  2,4;  41,7;x;x; 33,5; 80,4; 18,6;;1500804;;;;x
Faro;  332,7;- 0,55;- 0,30;- 0,25;  8,8;  11,8;  1,5;  2,1;  39,3;x;x; 42,2; 70,7; 21,2;;1500805;;;;x
Lagoa;  268,6;- 0,22;- 0,15;- 0,07;  9,4;  11,0;  1,1;  1,8;  45,8;x;x; 40,1; 74,1; 0,0;;1500806;;;;x
Lagos;  156,3;- 0,83;- 0,48;- 0,35;  7,7;  12,5;  1,7;  1,4;  38,1;x;x; 39,0; 69,0; 10,7;;1500807;;;;x
Loulé;  94,3;- 0,73;- 0,38;- 0,35;  9,5;  13,3;  2,0;  1,8;  44,8;x;x; 40,7; 67,0; 22,4;;1500808;;;;x
Monchique;  13,6;- 2,28;- 1,56;- 0,72;  7,2;  22,8;  20,1;  0,8;  44,7;x;x; 32,1; 84,6; 7,5;;1500809;;;;x
Olhão;  339,3;- 0,77;- 0,40;- 0,37;  8,1;  12,1;  1,1;  1,5;  37,9;x;x; 41,9; 73,3; 14,6;;1500810;;;;x
Portimão;  327,8;- 0,43;- 0,25;- 0,18;  9,8;  12,3;  0,9;  2,2;  44,1;x;x; 42,2; 66,4; 7,7;;1500811;;;;x
São Brás de Alportel;  73,1;- 0,54;- 0,34;- 0,20;  9,1;  12,5;  19,8;  1,6;  44,3;x;x; 39,2; 68,6; 5,2;;1500812;;;;x
Silves;  55,4;- 0,48;- 0,50; 0,02;  8,5;  13,5;  2,0;  1,5;  42,1;x;x; 39,6; 66,4; 11,1;;1500813;;;;x
Tavira;  45,0;- 1,24;- 0,73;- 0,51;  7,2;  14,6;  1,5;  1,4;  40,0;x;x; 35,4; 68,3; 30,8;;1500814;;;;x
Vila do Bispo;  31,8;- 0,60;- 0,44;- 0,16;  10,0;  14,4;  9,3;  1,1;  51,0;x;x; 37,9; 78,9; 0,0;;1500815;;;;x
Vila Real de Santo António;  305,7;- 0,82;- 0,55;- 0,27;  7,4;  13,0;  2,2;  1,4;  36,9;x;x; 38,6; 67,1; 23,7;;1500816;;;;x
 R. A. Açores;  101,8;- 0,07;- 0,14; 0,06;  8,6;  10,0;  3,5;  2,5;  36,0;  10,7;  1,32; 46,6; 54,2; 30,7;;200;x;x;x;
  Santa Maria;  56,0; 0,24;- 0,09; 0,33;  10,3;  11,3;  1,7;  1,5;  44,6;x;x; 44,5; 71,4; 44,4;;-;;;;
Vila do Porto;  56,0; 0,24;- 0,09; 0,33;  10,3;  11,3;  1,7;  1,5;  44,6;x;x; 44,5; 71,4; 44,4;;2004101;;;;x
