;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continua);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Sintra;  385 777;  181 561;  204 216;  56 836;  28 807;  28 029;  45 882;  23 139;  22 743;;1701111;;;;x
Vila Franca de Xira;  137 305;  65 460;  71 845;  20 726;  10 745;  9 981;  15 186;  7 610;  7 576;;1701114;;;;x
  Alentejo;  705 410;  342 071;  363 339;  86 756;  44 338;  42 418;  69 436;  36 100;  33 336;;18;;x;;
   Alentejo Litoral;  96 904;  49 281;  47 623;  11 384;  5 773;  5 611;  8 656;  4 692;  3 964;;181;;;x;
Alcácer do Sal;  11 092;  5 360;  5 732;  1 198;   599;   599;  1 026;   555;   471;;1811501;;;;x
Grândola;  13 909;  7 091;  6 818;  1 703;   877;   826;  1 295;   698;   597;;1811505;;;;x
Odemira;  29 757;  16 460;  13 297;  3 039;  1 553;  1 486;  2 615;  1 533;  1 082;;1810211;;;;x
Santiago do Cacém;  27 842;  13 488;  14 354;  3 413;  1 744;  1 669;  2 332;  1 213;  1 119;;1811509;;;;x
Sines;  14 304;  6 882;  7 422;  2 031;  1 000;  1 031;  1 388;   693;   695;;1811513;;;;x
   Baixo Alentejo;  114 946;  56 434;  58 512;  14 538;  7 527;  7 011;  11 277;  5 821;  5 456;;184;;;x;
Aljustrel;  8 842;  4 358;  4 484;  1 069;   536;   533;   769;   387;   382;;1840201;;;;x
Almodôvar;  6 728;  3 309;  3 419;   732;   363;   369;   590;   307;   283;;1840202;;;;x
Alvito;  2 285;  1 089;  1 196;   291;   150;   141;   249;   121;   128;;1840203;;;;x
Barrancos;  1 429;   702;   727;   171;   90;   81;   151;   82;   69;;1840204;;;;x
Beja;  33 468;  16 356;  17 112;  4 714;  2 453;  2 261;  3 569;  1 865;  1 704;;1840205;;;;x
Castro Verde;  6 895;  3 339;  3 556;   823;   419;   404;   655;   329;   326;;1840206;;;;x
Cuba;  4 375;  2 160;  2 215;   575;   301;   274;   441;   225;   216;;1840207;;;;x
Ferreira do Alentejo;  7 719;  3 885;  3 834;   907;   473;   434;   701;   362;   339;;1840208;;;;x
Mértola;  6 187;  3 075;  3 112;   544;   294;   250;   442;   234;   208;;1840209;;;;x
Moura;  13 278;  6 439;  6 839;  1 973;  1 021;   952;  1 494;   747;   747;;1840210;;;;x
Ourique;  4 816;  2 363;  2 453;   486;   231;   255;   405;   217;   188;;1840212;;;;x
Serpa;  13 732;  6 836;  6 896;  1 583;   840;   743;  1 307;   692;   615;;1840213;;;;x
Vidigueira;  5 192;  2 523;  2 669;   670;   356;   314;   504;   253;   251;;1840214;;;;x
   Lezíria do Tejo;  236 735;  113 576;  123 159;  30 231;  15 393;  14 838;  24 655;  12 772;  11 883;;185;;;x;
Almeirim;  22 042;  10 486;  11 556;  2 903;  1 484;  1 419;  2 289;  1 187;  1 102;;1851403;;;;x
Alpiarça;  6 972;  3 325;  3 647;   839;   466;   373;   715;   386;   329;;1851404;;;;x
Azambuja;  21 687;  10 903;  10 784;  2 791;  1 431;  1 360;  2 301;  1 155;  1 146;;1851103;;;;x
Benavente;  30 073;  14 435;  15 638;  4 514;  2 298;  2 216;  3 512;  1 778;  1 734;;1851405;;;;x
Cartaxo;  23 272;  11 170;  12 102;  2 901;  1 464;  1 437;  2 423;  1 270;  1 153;;1851406;;;;x
Chamusca;  8 498;  4 100;  4 398;   902;   460;   442;   742;   373;   369;;1851407;;;;x
Coruche;  17 251;  8 144;  9 107;  1 836;   918;   918;  1 551;   791;   760;;1851409;;;;x
Golegã;  5 391;  2 538;  2 853;   615;   302;   313;   536;   275;   261;;1851412;;;;x
Rio Maior;  21 083;  10 267;  10 816;  2 815;  1 428;  1 387;  2 205;  1 168;  1 037;;1851414;;;;x
Salvaterra de Magos;  21 679;  10 396;  11 283;  2 680;  1 357;  1 323;  2 244;  1 135;  1 109;;1851415;;;;x
Santarém;  58 787;  27 812;  30 975;  7 435;  3 785;  3 650;  6 137;  3 254;  2 883;;1851416;;;;x
   Alto Alentejo;  104 462;  49 613;  54 849;  12 208;  6 156;  6 052;  9 977;  5 054;  4 923;;186;;;x;
Alter do Chão;  3 052;  1 406;  1 646;   334;   164;   170;   270;   124;   146;;1861201;;;;x
Arronches;  2 791;  1 381;  1 410;   301;   155;   146;   247;   141;   106;;1861202;;;;x
Avis;  3 809;  1 792;  2 017;   424;   206;   218;   340;   156;   184;;1861203;;;;x
Campo Maior;  8 012;  3 862;  4 150;  1 166;   592;   574;   912;   481;   431;;1861204;;;;x
Castelo de Vide;  3 102;  1 484;  1 618;   290;   153;   137;   250;   138;   112;;1861205;;;;x
Crato;  3 188;  1 473;  1 715;   285;   136;   149;   228;   129;   99;;1861206;;;;x
Elvas;  20 628;  9 802;  10 826;  2 845;  1 448;  1 397;  2 205;  1 114;  1 091;;1861207;;;;x
Fronteira;  2 853;  1 350;  1 503;   293;   155;   138;   246;   130;   116;;1861208;;;;x
Gavião;  3 350;  1 565;  1 785;   254;   134;   120;   242;   122;   120;;1861209;;;;x
Marvão;  3 013;  1 435;  1 578;   294;   133;   161;   227;   115;   112;;1861210;;;;x
Monforte;  2 994;  1 412;  1 582;   404;   213;   191;   336;   152;   184;;1861211;;;;x
Nisa;  5 883;  2 784;  3 099;   446;   221;   225;   472;   233;   239;;1861212;;;;x
Ponte de Sor;  15 203;  7 303;  7 900;  1 711;   873;   838;  1 377;   695;   682;;1861213;;;;x
Portalegre;  22 259;  10 555;  11 704;  2 680;  1 329;  1 351;  2 236;  1 124;  1 112;;1861214;;;;x
Sousel;  4 325;  2 009;  2 316;   481;   244;   237;   389;   200;   189;;1861215;;;;x
   Alentejo Central;  152 363;  73 167;  79 196;  18 395;  9 489;  8 906;  14 871;  7 761;  7 110;;187;;;x;
Alandroal;  4 962;  2 402;  2 560;   488;   228;   260;   423;   225;   198;;1870701;;;;x
Arraiolos;  6 624;  3 249;  3 375;   740;   389;   351;   612;   312;   300;;1870702;;;;x
Borba;  6 426;  3 145;  3 281;   750;   362;   388;   567;   300;   267;;1870703;;;;x
Estremoz;  12 658;  6 017;  6 641;  1 453;   736;   717;  1 118;   589;   529;;1870704;;;;x
Évora;  53 620;  25 458;  28 162;  7 047;  3 712;  3 335;  5 655;  2 930;  2 725;;1870705;;;;x
Montemor-o-Novo;  15 772;  7 570;  8 202;  1 802;   918;   884;  1 425;   727;   698;;1870706;;;;x
Mora;  4 097;  1 954;  2 143;   356;   179;   177;   324;   177;   147;;1870707;;;;x
Mourão;  2 371;  1 202;  1 169;   335;   175;   160;   240;   126;   114;;1870708;;;;x
Portel;  5 739;  2 817;  2 922;   663;   347;   316;   564;   308;   256;;1870709;;;;x
Redondo;  6 281;  3 067;  3 214;   724;   365;   359;   597;   309;   288;;1870710;;;;x
Reguengos de Monsaraz;  9 861;  4 779;  5 082;  1 211;   621;   590;   968;   534;   434;;1870711;;;;x
Vendas Novas;  11 261;  5 415;  5 846;  1 340;   701;   639;  1 157;   610;   547;;1870712;;;;x
Viana do Alentejo;  5 318;  2 535;  2 783;   671;   332;   339;   539;   280;   259;;1870713;;;;x
Vila Viçosa;  7 373;  3 557;  3 816;   815;   424;   391;   682;   334;   348;;1870714;;;;x
  Algarve;  465 701;  224 881;  240 820;  62 555;  31 863;  30 692;  45 664;  23 466;  22 198;;150;;x;x;
Albufeira;  44 314;  21 604;  22 710;  6 132;  3 170;  2 962;  4 594;  2 416;  2 178;;1500801;;;;x
Alcoutim;  2 467;  1 198;  1 269;   149;   79;   70;   171;   87;   84;;1500802;;;;x
Aljezur;  6 028;  3 003;  3 025;   769;   395;   374;   482;   260;   222;;1500803;;;;x
Castro Marim;  6 414;  3 133;  3 281;   704;   340;   364;   556;   272;   284;;1500804;;;;x
Faro;  67 396;  31 900;  35 496;  9 182;  4 635;  4 547;  6 918;  3 517;  3 401;;1500805;;;;x
Lagoa;  23 701;  11 528;  12 173;  3 217;  1 653;  1 564;  2 478;  1 262;  1 216;;1500806;;;;x
Lagos;  33 296;  16 087;  17 209;  4 215;  2 151;  2 064;  3 272;  1 698;  1 574;;1500807;;;;x
Loulé;  72 044;  34 663;  37 381;  9 822;  4 974;  4 848;  6 969;  3 532;  3 437;;1500808;;;;x
Monchique;  5 371;  2 681;  2 690;   545;   285;   260;   388;   182;   206;;1500809;;;;x
Olhão;  44 403;  21 601;  22 802;  6 299;  3 288;  3 011;  4 610;  2 365;  2 245;;1500810;;;;x
Portimão;  59 681;  28 516;  31 165;  8 526;  4 311;  4 215;  6 073;  3 161;  2 912;;1500811;;;;x
São Brás de Alportel;  11 205;  5 383;  5 822;  1 512;   788;   724;  1 036;   548;   488;;1500812;;;;x
Silves;  37 658;  18 442;  19 216;  5 098;  2 600;  2 498;  3 448;  1 777;  1 671;;1500813;;;;x
Tavira;  27 304;  13 408;  13 896;  3 176;  1 618;  1 558;  2 332;  1 193;  1 139;;1500814;;;;x
Vila do Bispo;  5 692;  2 767;  2 925;   732;   360;   372;   442;   213;   229;;1500815;;;;x
Vila Real de Santo António;  18 727;  8 967;  9 760;  2 477;  1 216;  1 261;  1 895;   983;   912;;1500816;;;;x
 R. A. Açores;  236 488;  114 995;  121 493;  34 281;  17 553;  16 728;  27 993;  14 231;  13 762;;200;x;x;x;
  Santa Maria;  5 424;  2 583;  2 841;   766;   377;   389;   638;   314;   324;;-;;;;
Vila do Porto;  5 424;  2 583;  2 841;   766;   377;   389;   638;   314;   324;;2004101;;;;x
  São Miguel;  133 371;  64 923;  68 448;  20 581;  10 547;  10 034;  17 039;  8 643;  8 396;;-;;;;
Lagoa (R.A.A.);  14 216;  6 953;  7 263;  2 320;  1 220;  1 100;  1 925;   938;   987;;2004201;;;;x
Nordeste;  4 380;  2 153;  2 227;   557;   291;   266;   531;   265;   266;;2004202;;;;x
Ponta Delgada;  67 256;  32 273;  34 983;  9 583;  4 879;  4 704;  8 118;  4 091;  4 027;;2004203;;;;x
Povoação;  5 789;  2 832;  2 957;   772;   389;   383;   729;   369;   360;;2004204;;;;x
Ribeira Grande;  31 428;  15 553;  15 875;  5 849;  2 963;  2 886;  4 433;  2 292;  2 141;;2004205;;;;x
Vila Franca do Campo;  10 302;  5 159;  5 143;  1 500;   805;   695;  1 303;   688;   615;;2004206;;;;x
  Terceira;  53 191;  25 719;  27 472;  7 118;  3 580;  3 538;  5 776;  2 930;  2 846;;-;;;;
Angra do Heroísmo;  33 707;  16 254;  17 453;  4 461;  2 224;  2 237;  3 706;  1 865;  1 841;;2004301;;;;x
Vila da Praia da Vitória;  19 484;  9 465;  10 019;  2 657;  1 356;  1 301;  2 070;  1 065;  1 005;;2004302;;;;x
  Graciosa;  4 090;  2 006;  2 084;   594;   320;   274;   419;   217;   202;;-;;;;
Santa Cruz da Graciosa;  4 090;  2 006;  2 084;   594;   320;   274;   419;   217;   202;;2004401;;;;x
  São Jorge;  8 351;  4 119;  4 232;  1 022;   555;   467;   854;   442;   412;;-;;;;
Calheta (R.A.A.);  3 433;  1 694;  1 739;   417;   219;   198;   361;   198;   163;;2004501;;;;x
Velas;  4 918;  2 425;  2 493;   605;   336;   269;   493;   244;   249;;2004502;;;;x
  Pico;  13 931;  6 763;  7 168;  1 822;   930;   892;  1 336;   666;   670;;-;;;;
Lajes do Pico;  4 351;  2 117;  2 234;   530;   285;   245;   424;   202;   222;;2004601;;;;x
Madalena;  6 338;  3 071;  3 267;   874;   438;   436;   639;   321;   318;;2004602;;;;x
São Roque do Pico;  3 242;  1 575;  1 667;   418;   207;   211;   273;   143;   130;;2004603;;;;x
  Faial;  14 287;  6 932;  7 355;  1 897;   991;   906;  1 527;   811;   716;;-;;;;
Horta;  14 287;  6 932;  7 355;  1 897;   991;   906;  1 527;   811;   716;;2004701;;;;x
  Flores;  3 444;  1 738;  1 706;   427;   226;   201;   358;   179;   179;;-;;;;
Lajes das Flores;  1 405;   725;   680;   156;   87;   69;   155;   81;   74;;2004801;;;;x
Santa Cruz das Flores;  2 039;  1 013;  1 026;   271;   139;   132;   203;   98;   105;;2004802;;;;x
  Corvo;   399;   212;   187;   54;   27;   27;   46;   29;   17;;-;;;;
Corvo;   399;   212;   187;   54;   27;   27;   46;   29;   17;;2004901;;;;x
 R. A. Madeira;  251 182;  117 829;  133 353;  31 473;  16 103;  15 370;  28 498;  14 497;  14 001;;300;x;x;x;
Calheta (R.A.M.);  10 901;  5 004;  5 897;  1 259;   656;   603;  1 150;   606;   544;;3003101;;;;x
Câmara de Lobos;  32 128;  15 354;  16 774;  4 750;  2 399;  2 351;  4 373;  2 259;  2 114;;3003102;;;;x
Funchal;  105 828;  49 137;  56 691;  12 485;  6 397;  6 088;  11 182;  5 703;  5 479;;3003103;;;;x
Machico;  19 544;  9 433;  10 111;  2 167;  1 127;  1 040;  2 286;  1 173;  1 113;;3003104;;;;x
Ponta do Sol;  8 398;  3 879;  4 519;  1 010;   516;   494;  1 069;   535;   534;;3003105;;;;x
Porto Moniz;  2 516;  1 112;  1 404;   230;   128;   102;   261;   117;   144;;3003106;;;;x
Ribeira Brava;  12 686;  5 773;  6 913;  1 576;   806;   770;  1 602;   794;   808;;3003107;;;;x
Santa Cruz;  42 626;  20 386;  22 240;  6 296;  3 196;  3 100;  4 867;  2 433;  2 434;;3003108;;;;x
Santana;  6 522;  2 964;  3 558;   631;   338;   293;   647;   317;   330;;3003109;;;;x
São Vicente;  4 854;  2 238;  2 616;   500;   258;   242;   493;   259;   234;;3003110;;;;x
Porto Santo;  5 179;  2 549;  2 630;   569;   282;   287;   568;   301;   267;;3003201;;;;x
;Total;;;0 - 14 years;;;15 - 24 years;;;;;;;;
;MF;M;F;MF;M;F;MF;M;F;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;
Fonte: INE, I.P., Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;
Source: Statistics Portugal, Annual Estimates of Resident Population.;;;;;;;;;;;;;;;
Nota: Os dados da população residente resultam de um exercício ad hoc de estimativas de população residente para 31 de dezembro de 2021, calculadas com base nos resultados provisórios dos Censos 2021. Assim, os resultados dos indicadores para 2021 serão revistos na sequência da divulgação da nova série de estimativas de população pós-Censos 2021.;;;;;;;;;;;;;;;
Note: The resident population data  are a result from an ad hoc exercise of resident population estimates for December 31, 2021, based on the provisional results of the 2021 Census. Thus, the results of the 2021 indicators will be revised following the release of the new series of post-2021 Census population estimates.;;;;;;;;;;;;;;;
