;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continua);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Penacova;  13 070;  6 153;  6 917;  1 207;   630;   577;  1 185;   578;   607;;16E0613;;;;x
Penela;  5 435;  2 590;  2 845;   558;   272;   286;   457;   238;   219;;16E0614;;;;x
Soure;  17 201;  8 158;  9 043;  1 702;   905;   797;  1 536;   797;   739;;16E0615;;;;x
Tábua;  11 188;  5 305;  5 883;  1 251;   637;   614;  1 063;   497;   566;;16E0616;;;;x
Vila Nova de Poiares;  6 851;  3 216;  3 635;   741;   353;   388;   692;   354;   338;;16E0617;;;;x
   Região de Leiria;  287 969;  138 262;  149 707;  35 566;  18 339;  17 227;  29 861;  15 306;  14 555;;16F;;;x;
Alvaiázere;  6 269;  2 928;  3 341;   567;   301;   266;   516;   266;   250;;16F1002;;;;x
Ansião;  11 647;  5 533;  6 114;  1 161;   601;   560;  1 134;   580;   554;;16F1003;;;;x
Batalha;  15 689;  7 593;  8 096;  2 186;  1 130;  1 056;  1 634;   823;   811;;16F1004;;;;x
Castanheira de Pêra;  2 645;  1 254;  1 391;   202;   102;   100;   224;   126;   98;;16F1007;;;;x
Figueiró dos Vinhos;  5 283;  2 497;  2 786;   480;   260;   220;   418;   222;   196;;16F1008;;;;x
Leiria;  129 327;  62 207;  67 120;  16 908;  8 732;  8 176;  13 909;  7 181;  6 728;;16F1009;;;;x
Marinha Grande;  39 203;  18 905;  20 298;  4 995;  2 502;  2 493;  4 131;  2 098;  2 033;;16F1010;;;;x
Pedrógão Grande;  3 414;  1 619;  1 795;   273;   139;   134;   302;   154;   148;;16F1013;;;;x
Pombal;  51 230;  24 429;  26 801;  5 897;  3 087;  2 810;  5 121;  2 552;  2 569;;16F1015;;;;x
Porto de Mós;  23 262;  11 297;  11 965;  2 897;  1 485;  1 412;  2 472;  1 304;  1 168;;16F1016;;;;x
   Viseu Dão Lafões;  253 263;  119 736;  133 527;  29 045;  14 872;  14 173;  25 464;  13 065;  12 399;;16G;;;x;
Aguiar da Beira;  5 218;  2 450;  2 768;   427;   215;   212;   430;   227;   203;;16G0901;;;;x
Carregal do Sal;  9 063;  4 259;  4 804;  1 005;   509;   496;   871;   436;   435;;16G1802;;;;x
Castro Daire;  13 724;  6 541;  7 183;  1 320;   676;   644;  1 329;   684;   645;;16G1803;;;;x
Mangualde;  18 294;  8 753;  9 541;  2 012;  1 019;   993;  1 840;   971;   869;;16G1806;;;;x
Nelas;  13 107;  6 201;  6 906;  1 508;   787;   721;  1 297;   691;   606;;16G1809;;;;x
Oliveira de Frades;  9 543;  4 575;  4 968;  1 158;   587;   571;  1 009;   529;   480;;16G1810;;;;x
Penalva do Castelo;  7 315;  3 504;  3 811;   726;   398;   328;   690;   357;   333;;16G1811;;;;x
Santa Comba Dão;  10 636;  5 020;  5 616;  1 152;   599;   553;   992;   499;   493;;16G1814;;;;x
São Pedro do Sul;  15 114;  7 146;  7 968;  1 488;   778;   710;  1 503;   752;   751;;16G1816;;;;x
Sátão;  11 063;  5 226;  5 837;  1 215;   622;   593;  1 110;   567;   543;;16G1817;;;;x
Tondela;  25 895;  12 260;  13 635;  2 584;  1 320;  1 264;  2 443;  1 312;  1 131;;16G1821;;;;x
Vila Nova de Paiva;  4 657;  2 235;  2 422;   459;   259;   200;   445;   226;   219;;16G1822;;;;x
Viseu;  100 041;  47 043;  52 998;  13 039;  6 628;  6 411;  10 581;  5 346;  5 235;;16G1823;;;;x
Vouzela;  9 593;  4 523;  5 070;   952;   475;   477;   924;   468;   456;;16G1824;;;;x
   Beira Baixa;  80 731;  38 455;  42 276;  8 163;  4 187;  3 976;  6 808;  3 504;  3 304;;16H;;;x;
