;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Vila Nova de Gaia;  167 186;  79 029;  88 157;  66 293;  28 983;  37 310;  29 424;  12 160;  17 264;;11A1317;;;;x
   Alto Tâmega;  39 758;  19 424;  20 334;  29 698;  13 157;  16 541;  15 472;  6 326;  9 146;;11B;;;x;
Boticas;  2 302;  1 158;  1 144;  1 869;   822;  1 047;  1 010;   421;   589;;11B1702;;;;x
Chaves;  18 324;  8 807;  9 517;  12 228;  5 423;  6 805;  6 239;  2 568;  3 671;;11B1703;;;;x
Montalegre;  4 178;  2 139;  2 039;  3 674;  1 631;  2 043;  2 026;   829;  1 197;;11B1706;;;;x
Ribeira de Pena;  2 910;  1 456;  1 454;  1 867;   849;  1 018;   979;   396;   583;;11B1709;;;;x
Valpaços;  6 387;  3 106;  3 281;  5 942;  2 578;  3 364;  3 149;  1 261;  1 888;;11B1712;;;;x
Vila Pouca de Aguiar;  5 657;  2 758;  2 899;  4 118;  1 854;  2 264;  2 069;   851;  1 218;;11B1713;;;;x
   Tâmega e Sousa;  228 269;  110 645;  117 624;  79 371;  34 740;  44 631;  35 587;  14 159;  21 428;;11C;;;x;
Amarante;  28 198;  13 424;  14 774;  11 803;  5 249;  6 554;  5 338;  2 151;  3 187;;11C1301;;;;x
Baião;  9 524;  4 587;  4 937;  4 055;  1 714;  2 341;  1 986;   758;  1 228;;11C1302;;;;x
Castelo de Paiva;  8 552;  4 238;  4 314;  3 280;  1 424;  1 856;  1 503;   570;   933;;11C0106;;;;x
Celorico de Basto;  9 340;  4 605;  4 735;  4 284;  1 775;  2 509;  2 177;   816;  1 361;;11C0305;;;;x
Cinfães;  9 202;  4 531;  4 671;  4 551;  1 996;  2 555;  2 300;   895;  1 405;;11C1804;;;;x
Felgueiras;  31 799;  15 363;  16 436;  10 282;  4 510;  5 772;  4 449;  1 804;  2 645;;11C1303;;;;x
Lousada;  27 431;  13 172;  14 259;  7 476;  3 312;  4 164;  3 100;  1 252;  1 848;;11C1305;;;;x
Marco de Canaveses;  27 718;  13 353;  14 365;  9 201;  3 960;  5 241;  4 051;  1 583;  2 468;;11C1307;;;;x
