;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Seia;  10 301;  4 995;  5 306;  7 535;  3 290;  4 245;  3 850;  1 535;  2 315;;16J0912;;;;x
Trancoso;  3 953;  1 963;  1 990;  3 030;  1 277;  1 753;  1 718;   683;  1 035;;16J0913;;;;x
  A. M. Lisboa; 1 523 899;  721 099;  802 800;  626 427;  260 254;  366 173;  308 514;  120 878;  187 636;;170;;x;x;
Alcochete;  10 449;  5 047;  5 402;  3 438;  1 507;  1 931;  1 665;   691;   974;;1701502;;;;x
Almada;  91 282;  42 838;  48 444;  42 596;  17 972;  24 624;  21 511;  8 567;  12 944;;1701503;;;;x
Amadora;  91 329;  42 520;  48 809;  38 584;  15 770;  22 814;  19 184;  7 471;  11 713;;1701115;;;;x
Barreiro;  39 395;  18 623;  20 772;  20 031;  8 411;  11 620;  9 992;  4 133;  5 859;;1701504;;;;x
Cascais;  110 542;  51 277;  59 265;  48 956;  20 186;  28 770;  23 868;  9 327;  14 541;;1701105;;;;x
Lisboa;  291 145;  140 033;  151 112;  127 655;  49 088;  78 567;  69 176;  24 267;  44 909;;1701106;;;;x
Loures;  106 127;  50 083;  56 044;  44 878;  18 987;  25 891;  21 914;  8 901;  13 013;;1701107;;;;x
Mafra;  47 190;  22 944;  24 246;  15 588;  6 874;  8 714;  7 530;  3 142;  4 388;;1701109;;;;x
Moita;  34 269;  16 183;  18 086;  14 614;  6 211;  8 403;  6 572;  2 592;  3 980;;1701506;;;;x
Montijo;  30 642;  15 126;  15 516;  10 520;  4 413;  6 107;  5 116;  1 966;  3 150;;1701507;;;;x
Odivelas;  79 770;  37 677;  42 093;  31 382;  13 229;  18 153;  14 807;  6 002;  8 805;;1701116;;;;x
Oeiras;  88 136;  40 966;  47 170;  41 739;  17 058;  24 681;  20 906;  8 335;  12 571;;1701110;;;;x
Palmela;  36 335;  17 731;  18 604;  14 621;  6 299;  8 322;  7 428;  3 000;  4 428;;1701508;;;;x
Seixal;  87 616;  40 857;  46 759;  36 414;  15 971;  20 443;  16 396;  7 103;  9 293;;1701510;;;;x
Sesimbra;  28 042;  13 496;  14 546;  10 872;  5 005;  5 867;  5 094;  2 259;  2 835;;1701511;;;;x
Setúbal;  63 004;  29 840;  33 164;  28 713;  12 411;  16 302;  13 626;  5 534;  8 092;;1701512;;;;x
Sintra;  213 092;  100 065;  113 027;  69 967;  29 550;  40 417;  32 511;  12 997;  19 514;;1701111;;;;x
Vila Franca de Xira;  75 534;  35 793;  39 741;  25 859;  11 312;  14 547;  11 218;  4 591;  6 627;;1701114;;;;x
  Alentejo;  358 780;  179 652;  179 128;  190 438;  81 981;  108 457;  100 362;  39 715;  60 647;;18;;x;;
   Alentejo Litoral;  51 559;  27 453;  24 106;  25 305;  11 363;  13 942;  12 909;  5 288;  7 621;;181;;;x;
Alcácer do Sal;  5 387;  2 692;  2 695;  3 481;  1 514;  1 967;  1 717;   672;  1 045;;1811501;;;;x
Grândola;  7 118;  3 792;  3 326;  3 793;  1 724;  2 069;  2 020;   861;  1 159;;1811505;;;;x
Odemira;  17 407;  10 303;  7 104;  6 696;  3 071;  3 625;  3 628;  1 532;  2 096;;1810211;;;;x
Santiago do Cacém;  13 985;  6 885;  7 100;  8 112;  3 646;  4 466;  4 019;  1 632;  2 387;;1811509;;;;x
Sines;  7 662;  3 781;  3 881;  3 223;  1 408;  1 815;  1 525;   591;   934;;1811513;;;;x
   Baixo Alentejo;  57 667;  29 556;  28 111;  31 464;  13 530;  17 934;  16 385;  6 309;  10 076;;184;;;x;
Aljustrel;  4 472;  2 332;  2 140;  2 532;  1 103;  1 429;  1 236;   473;   763;;1840201;;;;x
Almodôvar;  3 243;  1 670;  1 573;  2 163;   969;  1 194;  1 153;   499;   654;;1840202;;;;x
Alvito;  1 086;   532;   554;   659;   286;   373;   364;   137;   227;;1840203;;;;x
Barrancos;   727;   372;   355;   380;   158;   222;   212;   74;   138;;1840204;;;;x
Beja;  17 376;  8 782;  8 594;  7 809;  3 256;  4 553;  3 995;  1 471;  2 524;;1840205;;;;x
Castro Verde;  3 556;  1 794;  1 762;  1 861;   797;  1 064;   946;   344;   602;;1840206;;;;x
Cuba;  2 226;  1 146;  1 080;  1 133;   488;   645;   632;   248;   384;;1840207;;;;x
Ferreira do Alentejo;  3 889;  2 101;  1 788;  2 222;   949;  1 273;  1 114;   433;   681;;1840208;;;;x
Mértola;  2 921;  1 546;  1 375;  2 280;  1 001;  1 279;  1 255;   495;   760;;1840209;;;;x
Moura;  6 317;  3 201;  3 116;  3 494;  1 470;  2 024;  1 801;   670;  1 131;;1840210;;;;x
Ourique;  2 290;  1 163;  1 127;  1 635;   752;   883;   919;   400;   519;;1840212;;;;x
Serpa;  6 974;  3 605;  3 369;  3 868;  1 699;  2 169;  1 994;   784;  1 210;;1840213;;;;x
Vidigueira;  2 590;  1 312;  1 278;  1 428;   602;   826;   764;   281;   483;;1840214;;;;x
   Lezíria do Tejo;  120 863;  59 395;  61 468;  60 986;  26 016;  34 970;  31 582;  12 454;  19 128;;185;;;x;
Almeirim;  11 208;  5 406;  5 802;  5 642;  2 409;  3 233;  2 951;  1 194;  1 757;;1851403;;;;x
Alpiarça;  3 368;  1 627;  1 741;  2 050;   846;  1 204;  1 051;   391;   660;;1851404;;;;x
Azambuja;  11 515;  6 115;  5 400;  5 080;  2 202;  2 878;  2 571;  1 053;  1 518;;1851103;;;;x
Benavente;  16 097;  7 791;  8 306;  5 950;  2 568;  3 382;  2 910;  1 191;  1 719;;1851405;;;;x
Cartaxo;  12 086;  5 877;  6 209;  5 862;  2 559;  3 303;  2 990;  1 223;  1 767;;1851406;;;;x
Chamusca;  4 157;  2 105;  2 052;  2 697;  1 162;  1 535;  1 451;   580;   871;;1851407;;;;x
Coruche;  8 135;  3 977;  4 158;  5 729;  2 458;  3 271;  3 151;  1 227;  1 924;;1851409;;;;x
Golegã;  2 678;  1 314;  1 364;  1 562;   647;   915;   821;   317;   504;;1851412;;;;x
Rio Maior;  10 989;  5 490;  5 499;  5 074;  2 181;  2 893;  2 584;  1 038;  1 546;;1851414;;;;x
Salvaterra de Magos;  10 911;  5 371;  5 540;  5 844;  2 533;  3 311;  2 980;  1 165;  1 815;;1851415;;;;x
Santarém;  29 719;  14 322;  15 397;  15 496;  6 451;  9 045;  8 122;  3 075;  5 047;;1851416;;;;x
   Alto Alentejo;  51 041;  25 078;  25 963;  31 236;  13 325;  17 911;  17 293;  6 802;  10 491;;186;;;x;
Alter do Chão;  1 385;   674;   711;  1 063;   444;   619;   640;   235;   405;;1861201;;;;x
Arronches;  1 368;   711;   657;   875;   374;   501;   548;   223;   325;;1861202;;;;x
Avis;  1 811;   903;   908;  1 234;   527;   707;   674;   271;   403;;1861203;;;;x
Campo Maior;  4 017;  1 959;  2 058;  1 917;   830;  1 087;   955;   392;   563;;1861204;;;;x
Castelo de Vide;  1 452;   708;   744;  1 110;   485;   625;   647;   253;   394;;1861205;;;;x
Crato;  1 401;   694;   707;  1 274;   514;   760;   748;   280;   468;;1861206;;;;x
Elvas;  10 564;  5 105;  5 459;  5 014;  2 135;  2 879;  2 648;  1 032;  1 616;;1861207;;;;x
Fronteira;  1 349;   661;   688;   965;   404;   561;   524;   196;   328;;1861208;;;;x
Gavião;  1 438;   724;   714;  1 416;   585;   831;   910;   343;   567;;1861209;;;;x
Marvão;  1 427;   706;   721;  1 065;   481;   584;   610;   255;   355;;1861210;;;;x
Monforte;  1 388;   675;   713;   866;   372;   494;   529;   217;   312;;1861211;;;;x
Nisa;  2 581;  1 326;  1 255;  2 384;  1 004;  1 380;  1 418;   535;   883;;1861212;;;;x
Ponte de Sor;  7 631;  3 825;  3 806;  4 484;  1 910;  2 574;  2 453;   954;  1 499;;1861213;;;;x
Portalegre;  11 188;  5 404;  5 784;  6 155;  2 698;  3 457;  3 144;  1 303;  1 841;;1861214;;;;x
Sousel;  2 041;  1 003;  1 038;  1 414;   562;   852;   845;   313;   532;;1861215;;;;x
   Alentejo Central;  77 650;  38 170;  39 480;  41 447;  17 747;  23 700;  22 193;  8 862;  13 331;;187;;;x;
Alandroal;  2 473;  1 277;  1 196;  1 578;   672;   906;   942;   384;   558;;1870701;;;;x
Arraiolos;  3 383;  1 722;  1 661;  1 889;   826;  1 063;  1 008;   405;   603;;1870702;;;;x
Borba;  3 245;  1 631;  1 614;  1 864;   852;  1 012;  1 049;   440;   609;;1870703;;;;x
Estremoz;  6 428;  3 135;  3 293;  3 659;  1 557;  2 102;  2 187;   864;  1 323;;1870704;;;;x
Évora;  28 208;  13 469;  14 739;  12 710;  5 347;  7 363;  6 135;  2 398;  3 737;;1870705;;;;x
Montemor-o-Novo;  7 771;  3 853;  3 918;  4 774;  2 072;  2 702;  2 693;  1 100;  1 593;;1870706;;;;x
Mora;  1 828;   899;   929;  1 589;   699;   890;   885;   358;   527;;1870707;;;;x
Mourão;  1 140;   604;   536;   656;   297;   359;   354;   148;   206;;1870708;;;;x
Portel;  2 880;  1 470;  1 410;  1 632;   692;   940;   872;   349;   523;;1870709;;;;x
Redondo;  3 211;  1 649;  1 562;  1 749;   744;  1 005;   954;   370;   584;;1870710;;;;x
Reguengos de Monsaraz;  5 041;  2 509;  2 532;  2 641;  1 115;  1 526;  1 415;   540;   875;;1870711;;;;x
Vendas Novas;  5 420;  2 664;  2 756;  3 344;  1 440;  1 904;  1 864;   793;  1 071;;1870712;;;;x
Viana do Alentejo;  2 727;  1 350;  1 377;  1 381;   573;   808;   803;   299;   504;;1870713;;;;x
Vila Viçosa;  3 895;  1 938;  1 957;  1 981;   861;  1 120;  1 032;   414;   618;;1870714;;;;x
  Algarve;  245 625;  118 268;  127 357;  111 857;  51 284;  60 573;  52 448;  22 459;  29 989;;150;;x;x;
Albufeira;  25 377;  12 198;  13 179;  8 211;  3 820;  4 391;  3 510;  1 504;  2 006;;1500801;;;;x
Alcoutim;   968;   505;   463;  1 179;   527;   652;   695;   302;   393;;1500802;;;;x
Aljezur;  3 147;  1 578;  1 569;  1 630;   770;   860;   861;   381;   480;;1500803;;;;x
Castro Marim;  3 051;  1 506;  1 545;  2 103;  1 015;  1 088;  1 036;   460;   576;;1500804;;;;x
Faro;  36 324;  17 283;  19 041;  14 972;  6 465;  8 507;  7 125;  2 889;  4 236;;1500805;;;;x
Lagoa;  12 386;  5 982;  6 404;  5 620;  2 631;  2 989;  2 470;  1 057;  1 413;;1500806;;;;x
Lagos;  17 413;  8 332;  9 081;  8 396;  3 906;  4 490;  3 679;  1 590;  2 089;;1500807;;;;x
Loulé;  38 213;  18 279;  19 934;  17 040;  7 878;  9 162;  8 229;  3 609;  4 620;;1500808;;;;x
Monchique;  2 599;  1 316;  1 283;  1 839;   898;   941;   996;   451;   545;;1500809;;;;x
Olhão;  23 195;  11 255;  11 940;  10 299;  4 693;  5 606;  4 758;  2 053;  2 705;;1500810;;;;x
Portimão;  31 580;  14 998;  16 582;  13 502;  6 046;  7 456;  6 240;  2 649;  3 591;;1500811;;;;x
São Brás de Alportel;  5 721;  2 735;  2 986;  2 936;  1 312;  1 624;  1 483;   607;   876;;1500812;;;;x
Silves;  19 669;  9 684;  9 985;  9 443;  4 381;  5 062;  4 620;  1 933;  2 687;;1500813;;;;x
Tavira;  13 626;  6 699;  6 927;  8 170;  3 898;  4 272;  3 785;  1 703;  2 082;;1500814;;;;x
Vila do Bispo;  2 947;  1 460;  1 487;  1 571;   734;   837;   769;   339;   430;;1500815;;;;x
Vila Real de Santo António;  9 409;  4 458;  4 951;  4 946;  2 310;  2 636;  2 192;   932;  1 260;;1500816;;;;x
 R. A. Açores;  134 374;  66 171;  68 203;  39 840;  17 040;  22 800;  17 194;  6 290;  10 904;;200;x;x;x;
  Santa Maria;  3 057;  1 506;  1 551;   963;   386;   577;   408;   138;   270;;-;;;;
Vila do Porto;  3 057;  1 506;  1 551;   963;   386;   577;   408;   138;   270;;2004101;;;;x
  São Miguel;  76 631;  37 609;  39 022;  19 120;  8 124;  10 996;  8 023;  2 834;  5 189;;-;;;;
Lagoa (R.A.A.);  8 138;  4 008;  4 130;  1 833;   787;  1 046;   758;   271;   487;;2004201;;;;x
Nordeste;  2 369;  1 188;  1 181;   923;   409;   514;   445;   161;   284;;2004202;;;;x
Ponta Delgada;  39 213;  19 006;  20 207;  10 342;  4 297;  6 045;  4 351;  1 525;  2 826;;2004203;;;;x
Povoação;  3 271;  1 627;  1 644;  1 017;   447;   570;   450;   169;   281;;2004204;;;;x
Ribeira Grande;  17 719;  8 849;  8 870;  3 427;  1 449;  1 978;  1 387;   459;   928;;2004205;;;;x
Vila Franca do Campo;  5 921;  2 931;  2 990;  1 578;   735;   843;   632;   249;   383;;2004206;;;;x
  Terceira;  30 046;  14 805;  15 241;  10 251;  4 404;  5 847;  4 382;  1 624;  2 758;;-;;;;
Angra do Heroísmo;  18 937;  9 345;  9 592;  6 603;  2 820;  3 783;  2 903;  1 060;  1 843;;2004301;;;;x
Vila da Praia da Vitória;  11 109;  5 460;  5 649;  3 648;  1 584;  2 064;  1 479;   564;   915;;2004302;;;;x
  Graciosa;  2 165;  1 069;  1 096;   912;   400;   512;   422;   160;   262;;-;;;;
Santa Cruz da Graciosa;  2 165;  1 069;  1 096;   912;   400;   512;   422;   160;   262;;2004401;;;;x
  São Jorge;  4 605;  2 300;  2 305;  1 870;   822;  1 048;   918;   373;   545;;-;;;;
Calheta (R.A.A.);  1 818;   906;   912;   837;   371;   466;   425;   180;   245;;2004501;;;;x
Velas;  2 787;  1 394;  1 393;  1 033;   451;   582;   493;   193;   300;;2004502;;;;x
  Pico;  7 691;  3 845;  3 846;  3 082;  1 322;  1 760;  1 463;   541;   922;;-;;;;
Lajes do Pico;  2 303;  1 155;  1 148;  1 094;   475;   619;   533;   199;   334;;2004601;;;;x
Madalena;  3 534;  1 765;  1 769;  1 291;   547;   744;   613;   228;   385;;2004602;;;;x
São Roque do Pico;  1 854;   925;   929;   697;   300;   397;   317;   114;   203;;2004603;;;;x
  Faial;  7 972;  3 881;  4 091;  2 891;  1 249;  1 642;  1 234;   470;   764;;-;;;;
Horta;  7 972;  3 881;  4 091;  2 891;  1 249;  1 642;  1 234;   470;   764;;2004701;;;;x
  Flores;  1 971;  1 029;   942;   688;   304;   384;   319;   140;   179;;-;;;;
Lajes das Flores;   806;   429;   377;   288;   128;   160;   133;   61;   72;;2004801;;;;x
Santa Cruz das Flores;  1 165;   600;   565;   400;   176;   224;   186;   79;   107;;2004802;;;;x
  Corvo;   236;   127;   109;   63;   29;   34;   25;   10;   15;;-;;;;
Corvo;   236;   127;   109;   63;   29;   34;   25;   10;   15;;2004901;;;;x
 R. A. Madeira;  140 442;  67 510;  72 932;  50 769;  19 719;  31 050;  22 900;  7 658;  15 242;;300;x;x;x;
Calheta (R.A.M.);  5 707;  2 732;  2 975;  2 785;  1 010;  1 775;  1 400;   443;   957;;3003101;;;;x
Câmara de Lobos;  18 086;  8 826;  9 260;  4 919;  1 870;  3 049;  2 046;   649;  1 397;;3003102;;;;x
Funchal;  58 950;  27 928;  31 022;  23 211;  9 109;  14 102;  10 421;  3 646;  6 775;;3003103;;;;x
Machico;  10 986;  5 500;  5 486;  4 105;  1 633;  2 472;  1 802;   602;  1 200;;3003104;;;;x
Ponta do Sol;  4 494;  2 127;  2 367;  1 825;   701;  1 124;   904;   288;   616;;3003105;;;;x
Porto Moniz;  1 272;   624;   648;   753;   243;   510;   372;   99;   273;;3003106;;;;x
Ribeira Brava;  6 848;  3 229;  3 619;  2 660;   944;  1 716;  1 283;   372;   911;;3003107;;;;x
Santa Cruz;  25 155;  12 157;  12 998;  6 308;  2 600;  3 708;  2 663;   922;  1 741;;3003108;;;;x
Santana;  3 349;  1 634;  1 715;  1 895;   675;  1 220;   983;   284;   699;;3003109;;;;x
São Vicente;  2 537;  1 227;  1 310;  1 324;   494;   830;   630;   202;   428;;3003110;;;;x
Porto Santo;  3 058;  1 526;  1 532;   984;   440;   544;   396;   151;   245;;3003201;;;;x
;25 - 64 years;;;65 years and over;;;;;;;;;;;
;MF;M;F;Total;;;75 years and over;;;;;;;;
;;;;MF;M;F;MF;M;F;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;
Fonte: INE, I.P., Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;
Source: Statistics Portugal, Annual Estimates of Resident Population.;;;;;;;;;;;;;;;
Nota: Os dados da população residente resultam de um exercício ad hoc de estimativas de população residente para 31 de dezembro de 2021, calculadas com base nos resultados provisórios dos Censos 2021. Assim, os resultados dos indicadores para 2021 serão revistos na sequência da divulgação da nova série de estimativas de população pós-Censos 2021.;;;;;;;;;;;;;;;
Note: The resident population data  are a result from an ad hoc exercise of resident population estimates for December 31, 2021, based on the provisional results of the 2021 Census. Thus, the results of the 2021 indicators will be revised following the release of the new series of post-2021 Census population estimates.;;;;;;;;;;;;;;;
