Month,Mean price,District
May 2023,117.07142857142857,Chamartín
May 2023,63.25714285714286,Moratalaz
May 2023,73.29166666666667,Villa de Vallecas
May 2023,69.89949748743719,Puente de Vallecas
May 2023,63.795918367346935,Usera
May 2023,65.64102564102564,Barajas
May 2023,102.12852664576802,Tetuán
May 2023,111.38931297709924,Hortaleza
May 2023,46.791666666666664,Villaverde
May 2023,72.95854922279793,Ciudad Lineal
May 2023,31.1,Vicálvaro
May 2023,78.16822429906541,San Blas - Canillejas
May 2023,163.3097949886105,Salamanca
May 2023,88.54054054054055,Fuencarral - El Pardo
May 2023,129.66086956521738,Retiro
May 2023,146.693218833284,Centro
May 2023,126.42105263157895,Moncloa - Aravaca
May 2023,106.10843373493977,Arganzuela
May 2023,63.131736526946106,Latina
May 2023,120.17061611374407,Carabanchel
May 2023,118.44510385756676,Chamberí
June 2023,46.476190476190474,Moratalaz
June 2023,86.42666666666666,Chamartín
June 2023,54.68181818181818,Villa de Vallecas
June 2023,55.0,Puente de Vallecas
June 2023,55.908256880733944,Latina
June 2023,63.140625,Usera
June 2023,75.86842105263158,Barajas
June 2023,99.64024390243902,Chamberí
June 2023,59.40909090909091,Fuencarral - El Pardo
June 2023,104.21428571428571,Moncloa - Aravaca
June 2023,114.73809523809524,Hortaleza
June 2023,133.27704609595486,Centro
June 2023,56.567567567567565,Villaverde
June 2023,67.904,Ciudad Lineal
June 2023,57.40495867768595,Carabanchel
June 2023,112.78378378378379,Retiro
June 2023,56.835443037974684,San Blas - Canillejas
June 2023,90.67410714285714,Arganzuela
June 2023,143.36274509803923,Salamanca
June 2023,84.73837209302326,Tetuán
June 2023,62.38461538461539,Vicálvaro
